"YERAWADA - KALAS - DHANORI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"1D","18-19","1","Jute bags ","200,000.00","Bags","","",""
"1D","18-19","2","Jute bags ","200,000.00","Bags","","",""
"1D","18-19","3","Jute bags ","200,000.00","Bags","","",""
"1D","18-19","4","Rada Roda cleaning work","156,470.08","Cleaning","","",""
"1D","18-19","5","Rada Roda cleaning work","156,470.08","Cleaning","","",""
"1D","18-19","6","Grass cutting machine","189,521.20","Garden","","",""
"1D","18-19","7","Electrical works","88,029.14","Electrification","","",""
"1D","18-19","8","Gym equipments","200,000.00","Gym","","",""
"2A","18-19","1","Toilet repairs","160,578.71","Toilet","","",""
"2A","18-19","2","Samaj Mandir repairs","160,507.13","Buildings","","",""
"2A","18-19","3","Drainage works","176,957.42","Drainage","","",""
"2A","18-19","4","Drainage works","179,165.28","Drainage","","",""
"2A","18-19","5","Rada Roda cleaning work","172,158.34","Cleaning","","",""
"2A","18-19","6","Toilet repairs","172,158.34","Toilet","","",""
"2A","18-19","7","benches","126,691.77","Benches","","",""
"2A","18-19","8","benches","200,000.00","Benches","","",""
"2A","18-19","9","Toilet repairs","104,835.22","Toilet","","",""
"2A","18-19","10","Jute bags ","100,000.00","Bags","","",""
"2A","18-19","11","Jute bags ","200,000.00","Bags","","",""
"2B","18-19","1","Rada Roda cleaning work","165,785.46","Cleaning","","",""
"2B","18-19","2","Drainage works","150,619.94","Drainage","","",""
"2B","18-19","3","Jute bags ","200,000.00","Bags","","",""
"2B","18-19","4","Jute bags ","200,000.00","Bags","","",""
"2B","18-19","5","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","1","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","2","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","3","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","4","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","5","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","6","Colouring slogans","155,568.03","Decoration","","",""
"2C","18-19","7","Colouring slogans","77,027.79","Decoration","","",""
"2C","18-19","8","Nameplates","172,137.02","Nameplates","","",""
"2C","18-19","9","Samaj Mandir repairs","200,000.00","Buildings","","",""
"2D","18-19","1","benches","196,335.92","Benches","","",""
"2D","18-19","2","benches","169,283.17","Benches","","",""
"2D","18-19","3","benches","171,175.56","Benches","","",""
"2D","18-19","4","Jute bags ","200,000.00","Bags","","",""
"2D","18-19","5","Jute bags ","200,000.00","Bags","","",""
"2D","18-19","6","Gym equipments","174,698.59","Gym","","",""
"2D","18-19","7","Gym equipments","200,000.00","Gym","","",""
"2D","18-19","8","Gym equipments","200,000.00","Gym","","",""
"2D","18-19","9","benches","200,000.00","Benches","","",""
"2D","18-19","10","Bags","200,000.00","Bags","","",""
"6A","18-19","1","Jute bags ","200,000.00","Bags","","",""
"6A","18-19","2","Jute bags ","200,000.00","Bags","","",""
"6A","18-19","3","Drainage works","161,676.48","Drainage","","",""
"6A","18-19","4","Toilet repairs","163,724.90","Toilet","","",""
"6A","18-19","5","Toilet repairs","155,629.70","Toilet","","",""
"6A","18-19","6","Toilet repairs","163,883.77","Toilet","","",""
"6A","18-19","7","Toilet repairs","157,654.86","Toilet","","",""
"6A","18-19","8","Rada Roda cleaning work","159,684.03","Cleaning","","",""
"6A","18-19","9","Furniture works","87,245.20","Furniture","","",""
"6B","18-19","1","Jute bags ","200,000.00","Bags","","",""
"6B","18-19","2","Jute bags ","200,000.00","Bags","","",""
"6B","18-19","3","Jute bags ","200,000.00","Bags","","",""
"6B","18-19","4","Jute bags ","200,000.00","Bags","","",""
"6B","18-19","5","Jute bags ","200,000.00","Bags","","",""
"6B","18-19","6","Drainage works","196,799.53","Drainage","","",""
"6B","18-19","7","Samaj Mandir repairs","197,110.93","Buildings","","",""
"6B","18-19","8","Nameplates","196,559.52","Nameplates","","",""
"6B","18-19","9","Drainage works","157,664.83","Drainage","","",""
"6B","18-19","10","Drainage works","200,000.00","Drainage","","",""
"6C","18-19","1","Jute bags ","200,000.00","Bags","","",""
"6C","18-19","2","Jute bags ","200,000.00","Bags","","",""
"6C","18-19","3","Colouring slogans","196,934.08","Decoration","","",""
"6C","18-19","4","Water pipeline","189,173.61","Water supply","","",""
"6C","18-19","5","Drainage works","196,698.56","Drainage","","",""
"6C","18-19","6","Concretization work","199,181.76","Concretization","","",""
"6C","18-19","7","benches","199,090.23","Benches","","",""
"6C","18-19","8","Coloring works","125,584.58","Colouring","","",""
"6C","18-19","8","Drainage works","105,458.83","Drainage","","",""
"6D","18-19","1","Electrical works","169,385.45","Electrification","","",""
"6D","18-19","2","Electrical works","175,471.57","Electrification","","",""
"6D","18-19","3","Electrical works","165,517.60","Electrification","","",""
"6D","18-19","4","Computers","200,000.00","Computers","","",""
"6D","18-19","5","Computers","99,633.32","Computers","","",""
"1A","19-20","1","Rada Roda cleaning work","149,383.66","Cleaning","","",""
"1A","19-20","2","Colouring slogans","135,588.00","Decoration","","",""
"1A","19-20","3","benches","163,093.15","Benches","","",""
"1A","19-20","4","benches","74,133.25","Benches","","",""
"1A","19-20","5","Nameplates","164,763.07","Nameplates","","",""
"1A","19-20","6","Decoration works","200,000.00","Decoration","","",""
"1A","19-20","7","Decoration works","200,000.00","Decoration","","",""
"1A","19-20","8","Buckets for waste disposal","200,000.00","Waste disposal","","",""
"1A","19-20","9","Dhakal gadi","200,000.00","Waste disposal","","",""
"1B","19-20","1","Electrical works","137,016.96","Electrification","","",""
"1B","19-20","2","Electrical works","136,783.93","Electrification","","",""
"1B","19-20","3","Maintenance and repair works","200,000.00","Maintenance","","",""
"1B","19-20","4","Maintenance and repair works","200,000.00","Maintenance","","",""
"1B","19-20","5","Rada Roda cleaning work","200,000.00","Cleaning","","",""
"1B","19-20","6","Masks distribution","200,000.00","Help / Fund / Relief Work","","",""
"1C","19-20","1","Electrical works","133,520.22","Electrification","","",""
"1C","19-20","2","Electrical works","129,030.19","Electrification","","",""
"1C","19-20","3","Electrical works","131,832.38","Electrification","","",""
"1C","19-20","4","Electrical works","131,571.49","Electrification","","",""
"1C","19-20","5","Electrical works","133,917.24","Electrification","","",""
"1C","19-20","6","Electrical works","131,685.28","Electrification","","",""
"1C","19-20","7","Electrical works","133,520.22","Electrification","","",""
"1C","19-20","8","Electrical works","134,168.43","Electrification","","",""
"1C","19-20","9","Electrical works","129,999.71","Electrification","","",""
"1C","19-20","10","Decoration works","199,107.98","Decoration","","",""
"1D","19-20","1","Rada Roda cleaning work","149,479.10","Cleaning","","",""
"1D","19-20","2","Street lights","141,268.68","Electrification","","",""
"1D","19-20","3","Street lights","95,766.82","Electrification","","",""
"1D","19-20","4","Footpath repairs","145,302.79","Footpath","","",""
"1D","19-20","5","Toilet repairs","149,168.74","Toilet","","",""
"1D","19-20","6","Footpath repairs","142,494.50","Footpath","","",""
"1D","19-20","7","Electrical works","151,794.50","Electrification","","",""
"1D","19-20","8","Benches","162,733.29","Benches","","",""
"1D","19-20","9","Development works","100,000.00","Development work","","",""
"1D","19-20","10","Road works","146,894.81","Road","","",""
"2A","19-20","1","Drainage works","135,804.13","Drainage","","",""
"2A","19-20","2","Concretization work","136,029.18","Concretization","","",""
"2A","19-20","3","Toilet repairs","133,023.00","Toilet","","",""
"2A","19-20","4","Toilet repairs","161,717.06","Toilet","","",""
"2A","19-20","5","Concretization work","138,432.00","Concretization","","",""
"2A","19-20","6","Drainage works","141,183.00","Drainage","","",""
"2A","19-20","7","Benches","149,964.94","Benches","","",""
"2A","19-20","8","Drainage works","200,000.00","Drainage","","",""
"2B","19-20","1","Drainage works","169,692.00","Drainage","","",""
"2B","19-20","2","Drainage works","169,583.00","Drainage","","",""
"2B","19-20","3","Benches","113,000.00","Benches","","",""
"2B","19-20","4","Road works","198,907.24","Road","","",""
"2B","19-20","5","Nameplates","198,834.06","Nameplates","","",""
"2B","19-20","6","Colouring slogans","195,838.00","Decoration","","",""
"2B","19-20","7","Colouring slogans","166,123.00","Decoration","","",""
"2B","19-20","8","Toilet repairs","169,583.00","Toilet","","",""
"2B","19-20","9","Road works","198,907.24","Road","","",""
"2B","19-20","10","Benches","199,408.13","Benches","","",""
"2C","19-20","1","Theramaplastic paint","198,432.52","Traffic","","",""
"2C","19-20","2","Benches","197,987.11","Benches","","",""
"2C","19-20","3","Footpath repairs","149,728.34","Footpath","","",""
"2C","19-20","4","Toilet repairs","200,000.00","Toilet","","",""
"2C","19-20","5","Drainage works","165,061.67","Drainage","","",""
"2C","19-20","6","Water proofing and repairs","200,000.00","Buildings","","",""
"2C","19-20","7","Samaj Mandir repairs","200,000.00","Buildings","","",""
"2C","19-20","8","Repair and maintenance","156,853.00","Buildings","","",""
"2C","19-20","9","Library shed","100,000.00","Library","","",""
