"","","","","","","","","","","0","","","","","","","","","","","","","",""
"BhavaniPeth","17C","Rasta Peth- Ravivar Peth","Vanraj Andekar","NCP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","17D","Rasta Peth- Ravivar Peth","Vishal Dhanawade","ShivSena","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","18A","Kahdakmal Aali- Mahatma Phule Peth","Vijayalaxmi Harihar","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","18B","Kahdakmal Aali- Mahatma Phule Peth","Arti Kondhare","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","18C","Kahdakmal Aali- Mahatma Phule Peth","Ajay Khedekar","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","18D","Kahdakmal Aali- Mahatma Phule Peth","Samrat Thorat","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","19A","Lohiya Nagar- Kasewadi","Avinash Bagave","Congress","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","19B","Lohiya Nagar- Kasewadi","Manisha Ladkat","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","19C","Lohiya Nagar- Kasewadi","Archana Patil","BJP","","","","","","","","","","","","","","","","","","","",""
"BhavaniPeth","19D","Lohiya Nagar- Kasewadi","Rafique Sheikh","Congress","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","20A","Tadiwala Road- Sasoon Hospital","Pradip Gaikwad","NCP","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","20B","Tadiwala Road- Sasoon Hospital","Chandbi Nadaf","Congress","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","20C","Tadiwala Road- Sasoon Hospital","Latabai Rajguru","Congress","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","20D","Tadiwala Road- Sasoon Hospital","Arvind Shinde","Congress","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","21A","Koregaon Park- Ghorpadi","Navnath Kamble (till 2017) / Himali Kamble (after 2017)","BJP","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","21B","Koregaon Park- Ghorpadi","Lata Dhayarkar","BJP","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","21C","Koregaon Park- Ghorpadi","Mangala Mantri","BJP","","","","","","","","","","","","","","","","","","","",""
"DholePatilRd","21D","Koregaon Park- Ghorpadi","Umesh Gaikwad","BJP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22A","Mundhwa- Magarpatta City","Chetan Tupe","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22B","Mundhwa- Magarpatta City","Hemlata Magar","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22C","Mundhwa- Magarpatta City","Chanchala Kodre (till 2017) / Pooja Kodre (after 2017)","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22D","Mundhwa- Magarpatta City","Sunil Gaikwad","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23A","Hadapsar Gaothan- Satavwadi","Yogesh Sasane","NCP","","","","","","","","","","","","","","","","","","","",""
