"","","","","","","","","","","","","","134","102","103","126","465","0","","","","","","","","","","","","","",""
"Ward office","Ward","Ward Name","Name","Gender","Party","Served on any Municipal Committee?","17-18","18-19","19-20","20-21","Total","Total working days","17-18","18-19","19-20","20-21","Total","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","",""
"Yerawada-Kalas-Dhanori","6C","Yerwada","Ashwini Landage","F","MIM","Name Committee","127","100","87","112","426","465","95%","98%","84%","89%","92%","No Issue","","","","","","","","","","","","","",""
"Yerawada-Kalas-Dhanori","6D","Yerwada","Sanjay Bhosale","M","ShivSena","","125","85","68","87","365","465","93%","83%","66%","69%","78%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","7A","Pune University- Wakadewadi","Sonali Landage","F","BJP","City Development Committee","131","95","95","112","433","465","98%","93%","92%","89%","93%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","7B","Pune University- Wakadewadi","Rajashri Kale","F","BJP","Name Committee, Education Committee","121","99","93","73","386","465","90%","97%","90%","58%","83%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","7C","Pune University- Wakadewadi","Aditya Malve","M","BJP","Name Committee","123","95","95","98","411","465","92%","93%","92%","78%","88%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","7D","Pune University- Wakadewadi","Reshma Bhosale","F","Independant","Name Committee","47","32","34","28","141","465","35%","31%","33%","22%","30%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8A","Aundh- Bopodi","Sunita Wadekar","F","BJP","Women & child welfare","116","87","94","108","405","465","87%","85%","91%","86%","87%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8B","Aundh- Bopodi","Archana Musale","F","BJP","Sports Committee, Women & child welfare","99","80","77","67","323","465","74%","78%","75%","53%","69%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8C","Aundh- Bopodi","Vijay Shewale (till Dec 2020)","M","BJP","Sports Committee, Law Committee","129","99","95","60","383","465","96%","97%","92%","48%","82%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","8D","Aundh- Bopodi","Prakash Dhore","M","BJP","Standing Committee","119","91","94","100","404","465","89%","89%","91%","79%","87%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9A","Baner- Balewadi- Pashan","Swapnali Saikar","F","BJP","Law Committee, Women & child welfare","126","99","89","99","413","465","94%","97%","86%","79%","89%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9B","Baner- Balewadi- Pashan","Jyoti Kalamkar","F","BJP","Sports Committee, Name Committee","129","91","94","105","419","465","96%","89%","91%","83%","90%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9C","Baner- Balewadi- Pashan","Amol Balwadkar","M","BJP","City Development Committee, Sports Committee","91","77","77","54","299","465","68%","75%","75%","43%","64%","No Issue","","","","","","","","","","","","","",""
"Aundh-Baner","9D","Baner- Balewadi- Pashan","Baburao Chandere","M","NCP","Education Committee","119","88","67","94","368","465","89%","86%","65%","75%","79%","Resolved","For 18-19 Attendance in the RTI information PDF is 88","Corrected- Tanmay","","","","","","","","","","","",""
"Kothrud-Bavdhan","10A","Bavdhan- Kothrud Depot","Kiran Dagade Patil","M","BJP","City Development Committee","79","79","74","66","298","465","59%","77%","72%","52%","64%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10B","Bavdhan- Kothrud Depot","Shraddha Prabhune","F","BJP","Women & child welfare","116","58","90","84","348","465","87%","57%","87%","67%","75%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10C","Bavdhan- Kothrud Depot","Alpana Varpe","F","BJP","City Development Committee, Education Committee","125","92","93","106","416","465","93%","90%","90%","84%","89%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","10D","Bavdhan- Kothrud Depot","Dilip Vede Patil","M","BJP","Standing Committee","127","100","91","105","423","465","95%","98%","88%","83%","91%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11A","Rambaug Colony- Shivtirth Nagar","Deepak Mankar","M","NCP","","108","10","51","58","227","465","81%","10%","50%","46%","49%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11B","Rambaug Colony- Shivtirth Nagar","Chhaya Marane","F","BJP","Sports Committee","130","99","91","106","426","465","97%","97%","88%","84%","92%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11C","Rambaug Colony- Shivtirth Nagar","Vaishali Marathe","F","Congress","Standing Committee, Women & child welfare","118","94","95","95","402","465","88%","92%","92%","75%","86%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","11D","Rambaug Colony- Shivtirth Nagar","Ramchandra Kadam","M","Congress","Law Committee","102","71","62","50","285","465","76%","70%","60%","40%","61%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12A","Mayur Colony- Dahanukar Colony","Harshali Mathvad","F","BJP","City Development Committee, Name Committee","113","92","84","80","369","465","84%","90%","82%","63%","79%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12B","Mayur Colony- Dahanukar Colony","Vasanti Jadhav","F","BJP","Name Committee","123","97","91","104","415","465","92%","95%","88%","83%","89%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12C","Mayur Colony- Dahanukar Colony","Murlidhar Mohol","M","BJP","Standing Committee","102","59","77","113","351","465","76%","58%","75%","90%","75%","No Issue","","","","","","","","","","","","","",""
"Kothrud-Bavdhan","12D","Mayur Colony- Dahanukar Colony","Pruthviraj Sutar","M","ShivSena","","101","72","89","105","367","465","75%","71%","86%","83%","79%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","13A","Erandwana- Happy Colony","Dipak Pote","M","BJP","Standing Committee","128","87","93","79","387","465","96%","85%","90%","63%","83%","No Issue","","","","","","","","","","","","","",""
