"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","4","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"26B","19-20","14","Electrification/new street lights","111,853.07","Electrification","No Issue","",""
"22B","19-20","15","Electrification/new street lights","122,653.97","Electrification","No Issue","",""
"23A","19-20","16","Electrification/new street lights","123,506.00","Electrification","No Issue","",""
"23B","19-20","17","Electrification/new street lights","196,387.35","Electrification","No Issue","",""
"23B","19-20","18","Electrification/new street lights","197,153.53","Electrification","No Issue","",""
"23C","19-20","19","Electrification/new street lights","197,216.73","Electrification","No Issue","",""
"23C","19-20","20","Electrification/new street lights","197,000.52","Electrification","No Issue","",""
"22B","19-20","21"," 'Katta' installation","152,978.64","Benches","Open","Code - ?? Is katta = bench??",""
"23C","19-20","22","Development work at waste seggregation shed","199,455.22","Buildings","Open","Code - ???",""
"26A","19-20","23","Pavement Blocks / Grouting / Laying tiles","166,738.06","Pavement blocks","No Issue","",""
"26A","19-20","24","Pavement Blocks / Grouting / Laying tiles","119,529.89","Pavement blocks","No Issue","",""
"26D","19-20","25","Drainage works","192,359.92","Drainage","No Issue","",""
"26D","19-20","26","Pavement Blocks / Grouting / Laying tiles","173,894.73","Pavement blocks","No Issue","",""
"26D","19-20","27","Pavement Blocks / Grouting / Laying tiles","173,260.50","Pavement blocks","No Issue","",""
"26D","19-20","28","Concretization","178,272.57","Concretization","No Issue","",""
"22A","19-20","29","Electrification/new street lights","190,258.31","Electrification","No Issue","",""
"23C","19-20","30","Electrification/new street lights","132,190.29","Electrification","No Issue","",""
"23C","19-20","31","Electrification/new street lights","132,813.09","Electrification","No Issue","",""
"26A","19-20","32","Electrification/new street lights","197,526.86","Electrification","No Issue","",""
"26A","19-20","33","Electrification/new street lights","197,757.75","Electrification","No Issue","",""
"22C","19-20","34","Gym / gym equipments","175,024.73","Gym","No Issue","",""
"22C","19-20","35","Fencing / walls / gates","153,673.69","Fencing","No Issue","",""
"22D","19-20","36","Garden / playground works","159,830.38","Garden","No Issue","",""
"22D","19-20","37","Building toilets / maintenance etc.","175,284.52","Toilet","No Issue","",""
"22D","19-20","38"," 'Katta' installation","175,292.88","Benches","Resolved","Code - ?? Is katta = bench??",""
"22D","19-20","39","Garden / playground works","191,307.13","Garden","No Issue","",""
"22D","19-20","40","Cemetery/ crematorium related development work","197,194.50","Cemetory / Crematorium","No Issue","",""
"22D","19-20","41","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","87,232.29","Buildings","No Issue","",""
"22B","19-20","42","Electrification/new street lights","143,180.00","Electrification","No Issue","",""
"23A","19-20","43","Drainage works","161,799.81","Drainage","No Issue","",""
"23A","19-20","44","Concretization","127,870.55","Concretization","No Issue","",""
"23A","19-20","45","Concretization","122,571.64","Concretization","No Issue","",""
"26A","19-20","46","Electrification/new street lights","87,896.07","Electrification","No Issue","",""
"23B","19-20","47","Fencing / walls / gates","169,989.12","Fencing","No Issue","",""
"23B","19-20","48","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","84,857.44","Buildings","No Issue","",""
"26B","19-20","49","Drainage works","172,507.00","Drainage","Resolved","Amount to be confirmed since expenditure is above 2L",""
"26B","19-20","50","Drainage works","137,411.52","Drainage","No Issue","",""
"22A","19-20","51","Pavement Blocks / Grouting / Laying tiles","128,632.99","Pavement blocks","No Issue","",""
"22B","19-20","52","Sitting platform installation in crematorium","139,159.56","Cemetory / Crematorium","No Issue","",""
"22B","19-20","53","Drainage works","135,020.98","Drainage","No Issue","",""
"22B","19-20","54","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","137,384.74","Nameplates","No Issue","",""
"26C","19-20","55","Electrification/new street lights","114,775.09","Electrification","No Issue","",""
"26D","19-20","56","Concretization","173,494.33","Concretization","No Issue","",""
"26D","19-20","57","Drainage works","174,053.40","Drainage","No Issue","",""
