"BIBWEWADI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"37B","18-19","2","Install Road Railing near Dattamandir","199,299.58","Fencing","No Issue","",""
"37B","18-19","3","Benches","200,000.00","Benches","No Issue","",""
"37B","18-19","4","Benches - Upper Indiranagar","200,000.00","Benches","No Issue","",""
"37B","18-19","5","Cloth Bags","200,000.00","Bags","No Issue","",""
"37C","18-19","1","Supply Dhakalgaadi","100,000.00","Waste disposal","No Issue","",""
"37C","18-19","2","Drainage Related Works","180,211.92","Drainage","No Issue","",""
"37C","18-19","3","Drainage Related Works - Padmavatinagar","192,047.39","Drainage","No Issue","",""
"37C","18-19","4","Road related works","189,153.62","Road","No Issue","",""
"37C","18-19","5","Library Premises decoration","185,747.86","Library","No Issue","",""
"37C","18-19","6","Block Installation - Mahesh Society","175,147.69","Pavement blocks","No Issue","",""
"37C","18-19","7","Electrical works in Oswal Hospital","321,767.27","Electrification","No Issue","",""
"28B","18-19","1","Jute Bags Supply","200,000.00","Bags","No Issue","",""
"28B","18-19","2","Jute Bags Supply","200,000.00","Bags","No Issue","",""
"28B","18-19","3","Jute Bags Supply - Part 2","200,000.00","Bags","No Issue","",""
"28B","18-19","4","Jute Bags Supply - Part 3","200,000.00","Bags","No Issue","",""
"28B","18-19","5","Fencing on canal - Sahani Park","188,429.62","Fencing","No Issue","",""
"28B","18-19","6","Decoration work at Sandesh Nagar Kothi","200,000.00","Decoration","No Issue","",""
"28B","18-19","7","Yoga Mat Supply","200,000.00","Gym","No Issue","",""
"28B","18-19","8","Repairs of Drainage lines and chambers","198,668.72","Drainage","No Issue","",""
"28B","18-19","9","Garbage pick up","98,762.72","Cleaning","No Issue","",""
"28B","18-19","10","Jute Bags Supply","200,000.00","Bags","No Issue","",""
"28A","18-19","1","Jute Bags Supply - Part 1","200,000.00","Bags","No Issue","",""
"28A","18-19","2","Purchase of chairs and other things for Library in Samaajmandir and Dholemala school","193,649.70","Furniture","No Issue","",""
"28A","18-19","3","Samaajmandir Repair Works","183,066.72","Buildings","No Issue","",""
"28A","18-19","4","Developmental Works and shed installation","200,000.00","Buildings","No Issue","",""
"28A","18-19","5","Jute Bags Purchase","200,000.00","Bags","No Issue","",""
"28A","18-19","6","Jute Bags Supply - Part 1","200,000.00","Bags","No Issue","",""
"28A","18-19","7","Directions board and repairs","190,498.78","Nameplates","No Issue","",""
"28A","18-19","8","Toilets repairs - Dholemala School","139,019.44","Toilet","No Issue","",""
"36D","18-19","1","Virangula Kendra colouring and flooring","181,008.90","Colouring","No Issue","",""
"37C","19-20","1","Gate installation at Arogya Kothi & Durgamata Garden","197,042.00","Fencing","No Issue","",""
"37C","19-20","2","Gate installation at Pratap Sabhaagruha","196,008.52","Fencing","No Issue","",""
"37C","19-20","3","Samaajmandir Construction - part 2","98,820.96","Buildings","No Issue","",""
"37C","19-20","4","Samaajmandir Developmental work","194,415.66","Buildings","No Issue","",""
"37C","19-20","5","Drainage related works","82,864.82","Drainage","No Issue","",""
"37C","19-20","6","Cleaning of drainage line and chamber","199,776.96","Drainage","No Issue","",""
"37C","19-20","7","Drainage related works","197,899.01","Drainage","No Issue","",""
"37C","19-20","8","Social utility work in MaNaPa owned land","193,145.92","Development work","No Issue","",""
"37C","19-20","9","Metal Sheet installation","196,379.49","Buildings","Resolved","Baandhlelyaa Dabar baandhkaamaachyaa bhintivar lokhandi patre basavine","Correct entry."
"37A","19-20","1","Cleaning Drainage Lines","197,134.63","Drainage","No Issue","",""
"37A","19-20","2","Repair Drainage","185,229.80","Drainage","No Issue","",""
"37A","19-20","3","Cleaning Drainage Lines","199,558.24","Drainage","No Issue","",""
"37A","19-20","4","Lay Drainage Lines - Shivraay Nagar","185,526.91","Drainage","No Issue","",""
"37A","19-20","5","Lay Drainage Lines - Ambikanagar","185,155.49","Drainage","No Issue","",""
"37A","19-20","6","Drainage Repairs - Padmavatinagar","199,333.44","Drainage","No Issue","",""
"37A","19-20","7","Drainage related works - Vighnahartaa nagar","199,333.44","Drainage","No Issue","",""
"37A","19-20","8","Garbage Pick up","189,450.52","Cleaning","No Issue","",""
"37A","19-20","9","Garbage Pick up","189,450.52","Cleaning","No Issue","",""
"36C","19-20","1","Concretization","194,736.08","Concretization","No Issue","",""
"36C","19-20","2","Furniture","197,081.38","Furniture","No Issue","",""
"36C","19-20","3","Samaajmandir - Chairs and Table","197,081.38","Furniture","No Issue","",""
"36C","19-20","4","Developmental Works","196,755.29","Development work","No Issue","",""
"36C","19-20","5","Developmental Works","197,150.36","Development work","No Issue","",""
"36C","19-20","6","Electricity related works","199,513.22","Electrification","No Issue","",""
"36C","19-20","7","Road repairs","198,420.52","Road","No Issue","",""
"36C","19-20","8","Chamber Repairs","195,463.55","Drainage","No Issue","",""
"37B","19-20","1","Virangula Centre construction","199,400.04","Buildings","No Issue","",""
"37B","19-20","2","Benches","200,000.00","Benches","No Issue","",""
"37B","19-20","3","Garbage Buckets Purchase","200,000.00","Dustbin/Buckets","No Issue","",""
"37B","19-20","4","Garbage Bins and fencing thereby","199,082.52","Dustbin/Buckets","No Issue","",""
"37B","19-20","5","Metal Sheet installation","197,234.05","Buildings","Resolved","Baandhlelyaa Dabar baandhkaamaachyaa bhintivar lokhandi patre basavine","Correct entry."
"37B","19-20","6","Gate installation","197,534.28","Fencing","No Issue","",""
"37B","19-20","7","Chamber and Drainage Repairs","194,925.75","Drainage","No Issue","",""
"37B","19-20","8","Public Hall construction - Chaavdi Baandhne","197,845.20","Buildings","No Issue","",""
"36B","19-20","1","Lay Drainage Lines","199,172.22","Drainage","No Issue","",""
"36B","19-20","2","Drainage related Repairs","199,954.88","Drainage","No Issue","",""
"36B","19-20","3","Garbage Pick up","199,105.74","Cleaning","No Issue","",""
"36B","19-20","4","Direction Boards installation","174,672.10","Nameplates","No Issue","",""
"36B","19-20","5","Public Library related repairs - Part 2","198,478.35","Library","No Issue","",""
"36B","19-20","6","Public Library related repairs - Part 1","199,355.33","Library","No Issue","",""
"36B","19-20","7","Sports Complex repairs","189,898.59","Gym","No Issue","",""
"36B","19-20","8","Garbage Pick up","199,421.60","Cleaning","No Issue","",""
"36B","19-20","9","Garbage Pick up - Society Premises","199,421.60","Cleaning","No Issue","",""
"36B","19-20","10","Concretization of roads","199,421.60","Concretization","No Issue","",""
"36D","19-20","1","Developmental Works","199,762.76","Development work","No Issue","",""
"36D","19-20","2","Side Border for Road near Bhagli hospital","199,883.32","Road","No Issue","",""
"36D","19-20","3","Side Border for Road near Bhagli hospital","199,883.32","Road","No Issue","",""
"36D","19-20","4","Repair road - Near Sahyadri Hospital","199,883.32","Road","No Issue","",""
"36D","19-20","5","Tarring of Roads - Gangadham Chowk","199,883.32","Road","No Issue","",""
"36D","19-20","6","Tarring of Roads - Bibwewadi Gaavthaan","199,883.32","Road","No Issue","",""
"36D","19-20","7","Tarring of Roads - Sant Eknathnagar","199,883.32","Road","No Issue","",""
"36D","19-20","8","Tarring of Roads - Swami Vivekanand","199,883.32","Road","No Issue","",""
"36A","19-20","1","Samaajmandir - Chairs and Table","99,374.24","Furniture","No Issue","",""
"36A","19-20","2","Cleaning of Drainage Line","198,664.76","Drainage","No Issue","",""
"36A","19-20","3","Concretization of side border","194,279.46","Concretization","No Issue","",""
"36A","19-20","4","Drainage line cleaning and repairs","198,664.76","Drainage","No Issue","",""
"36A","19-20","5","Samaajmandir Repair related works","164,157.09","Buildings","No Issue","",""
"36A","19-20","6","Trees related","81,823.15","Trees","Resolved","Jhaadaannaa Aali karne","Added a new code- Trees"
"36A","19-20","7","Naalaa Cleaning","198,887.58","Cleaning","No Issue","",""
"36A","19-20","8","Footpath Development","197,236.48","Footpath","No Issue","",""
"36A","19-20","9","Chamber repairs","164,271.69","Drainage","No Issue","",""
"36A","19-20","10","Directions board","197,372.00","Nameplates","No Issue","",""
"36A","19-20","11","Road Repairs","198,780.68","Road","No Issue","",""
"28B","19-20","1","Chamber cleaning","179,948.87","Drainage","No Issue","",""
"28B","19-20","2","Chamber cleaning","179,947.80","Drainage","No Issue","",""
"28B","19-20","3","School Toilet repair","188,357.10","Toilet","No Issue","",""
"28B","19-20","4","Beautification ","99,792.00","Decoration","No Issue","",""
"28B","19-20","5","Garbage Pick up","196,027.42","Cleaning","No Issue","",""
"28B","19-20","6","Rainwater Harvesting ","199,846.64","Rain Water Harvesting","Resolved","Recheck for classification","Added a new code- Rain water harvesting"
"28B","19-20","7","Rainwater Harvesting ","199,846.64","Rain Water Harvesting","Resolved","Recheck for classification","Added a new code- Rain water harvesting"
"28B","19-20","8","Tree Plantation and related works","187,497.56","Trees","No Issue","",""
"28B","19-20","9","Footpath Repairs","198,666.34","Footpath","No Issue","",""
"28B","19-20","10","Rainwater Harvesting  at Sports complex","180,002.73","Rain Water Harvesting","No Issue","",""
"28C","19-20","1","Beautify and Colour wall paintings","197,120.00","Decoration","No Issue","",""
"28C","19-20","2","Paintings on border walls","197,120.00","Decoration","No Issue","",""
"28C","19-20","3","Baalwaadi repairs","200,000.00","Buildings","No Issue","",""
"28C","19-20","4","Baalwaadi repairs","200,000.00","Buildings","No Issue","",""
"28C","19-20","5","Trees related","190,193.78","Trees","Resolved","Jhaadaannaa Aali karne","Added a new code- Trees"
"28C","19-20","6","Fencing for trees","197,589.57","Fencing","No Issue","",""
"28C","19-20","7","Furniture related works in school","198,690.18","Furniture","No Issue","",""
"28C","19-20","8","Bags purchase - part 2","200,000.00","Bags","No Issue","",""
"28C","19-20","9","Bags purchase - part 1","200,000.00","Bags","No Issue","",""
"28D","19-20","1","Cloth Bags supply","200,000.00","Bags","No Issue","",""
"28D","19-20","2","Decoration work ","199,482.36","Decoration","No Issue","",""
"28D","19-20","3","Direction Boards","193,195.50","Nameplates","No Issue","",""
"28D","19-20","4","Trees related","192,747.05","Trees","Resolved","Jhaadaannaa Aali karne","Added a new code- Trees"
"28D","19-20","5","Naalaa cleaning and beautification","175,936.70","Cleaning","No Issue","",""
"28D","19-20","6","White stripes and cats eye on roads","195,923.82","Road","No Issue","",""
"28D","19-20","7","Benches","200,000.00","Benches","No Issue","",""
"28D","19-20","8","Footpath repairs and related works","193,873.68","Footpath","No Issue","",""
"28D","19-20","9","Iron Sheet change of public library","187,257.84","Buildings","No Issue","",""
"28A","19-20","1","Directional Boards","199,367.18","Nameplates","No Issue","",""
"28A","19-20","2","School Toilet repair","199,771.32","Toilet","No Issue","",""
"28A","19-20","3","Trees related","174,007.80","Trees","Resolved","Jhaadaannaa Aali karne","Added a new code- Trees"
"28A","19-20","4","Fencing for trees","181,492.06","Fencing","No Issue","",""
"28A","19-20","5","Health Kothi repair","128,955.60","Buildings","No Issue","",""
"28A","19-20","6","Rain water harvesting","199,846.64","Rain Water Harvesting","Resolved","Recheck for classification","Added a new code- Rain water harvesting"
"28A","19-20","7","Boring installation","195,857.76","Bore wells","No Issue","",""
"28A","19-20","8","Furniture purchase","199,628.80","Furniture","No Issue","",""
"28A","19-20","9","Dhakalgaadi Supply","200,000.00","Waste disposal","No Issue","",""
"28A","19-20","10","Buckets supply big and small","200,000.00","Dustbin/Buckets","No Issue","",""
"37C","20-21","1","Drainage line cleaning and repairs","199,766.28","Drainage","No Issue","",""
"37C","20-21","2","Extend room in Gym","199,589.88","Gym","No Issue","",""
"37C","20-21","3","Iron Sheets installation on Border Walls","177,833.80","Fencing","No Issue","",""
"37C","20-21","4","Virangula Centre construction","199,105.76","Buildings","No Issue","",""
"37C","20-21","5","Virangula Centre repair","199,360.00","Buildings","No Issue","",""
"37C","20-21","6","Hand sanitizer stand and Corona related","199,188.32","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","7","Sanitizers and face mask supply","199,454.00","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","8","Sanitizer stand and sanitizers distribution","199,626.63","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","9","Sanitizer, face mask etc supply","199,300.00","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","10","Drainage line repairs","199,766.28","Drainage","No Issue","",""
"37C","20-21","11","Drainage line repairs and related works","199,591.56","Drainage","No Issue","",""
"37C","20-21","12","Laying drainage lines and related works","199,077.48","Drainage","No Issue","",""
"37C","20-21","13","Sanitizer stand and related","199,938.32","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","14","Mask, Sanitizer stand and sanitizers distribution","199,438.32","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","15","Sanitizer stand etc","199,962.90","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","16","Sanitizer stand etc","199,938.32","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","17","Mask, Sanitizer stand and sanitizers distribution","199,300.00","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","18","Sanitizer stand and sanitizers distribution","199,626.63","Help / Fund / Relief Work","No Issue","",""
"37C","20-21","19","Hand sanitizer stand and Corona related","199,188.32","Help / Fund / Relief Work","No Issue","",""
"36D","20-21","1","Sanitizer stand and related","199,691.78","Help / Fund / Relief Work","No Issue","",""
"36D","20-21","2","Road repairs","198,520.52","Road","No Issue","",""
"36D","20-21","3","School repairs and related works","199,518.98","Buildings","No Issue","",""
"36D","20-21","4","Tarring roads","198,520.52","Road","No Issue","",""
"36D","20-21","5","Side bordering for road","198,788.20","Road","No Issue","",""
"36D","20-21","6","Tarring of road","198,520.52","Road","No Issue","",""
"36D","20-21","7","Side bordering for road","198,520.52","Road","No Issue","",""
"36D","20-21","8","Tarring of road","198,520.52","Road","No Issue","",""
"36D","20-21","9","Tarring of road","198,520.52","Road","No Issue","",""
"36D","20-21","10","Sanitizer and related","199,748.28","Help / Fund / Relief Work","No Issue","",""
"37A","20-21","1","Sanitizer stand supply","199,212.55","Help / Fund / Relief Work","No Issue","",""
"37A","20-21","2","Sanitizer and stand","196,778.09","Help / Fund / Relief Work","No Issue","",""
"36A","20-21","1","Chamber repairs","198,856.00","Drainage","No Issue","",""
"36A","20-21","2","Sanitizer stands distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"36A","20-21","3","Face Mask supply and related","200,000.00","Help / Fund / Relief Work","No Issue","",""
"36A","20-21","4","Cloth bags supply","200,000.00","Bags","No Issue","",""
"36A","20-21","5","Cloth bags supply","200,000.00","Bags","No Issue","",""
"36A","20-21","6","Public construction sites and urinals cleaning","199,542.00","Toilet","No Issue","",""
"36A","20-21","7","Cloth Face Mask","199,692.00","Help / Fund / Relief Work","No Issue","",""
"36A","20-21","8","Chamber cleaning and clearing","177,035.00","Drainage","No Issue","",""
"36A","20-21","9","Chamber cleaning and clearing","178,065.00","Drainage","No Issue","",""
"36B","20-21","1","Face Mask supply","200,000.00","Help / Fund / Relief Work","No Issue","",""
"36B","20-21","2","Laying drainage lines","194,407.00","Drainage","No Issue","",""
"36B","20-21","3","Face Mask supply","200,000.00","Help / Fund / Relief Work","No Issue","",""
"36B","20-21","4","Garbage pick up","198,896.95","Cleaning","No Issue","",""
"36B","20-21","5","Face Mask supply","199,800.00","Help / Fund / Relief Work","No Issue","",""
"28B","20-21","1","Face Mask supply and related","199,702.80","Help / Fund / Relief Work","No Issue","",""
