"DHOLE PATIL ROAD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"21C","17-18","5","Drainage lines","149,304.84","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","6","Benches","157,046.40","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","7","Drainage line","161,487.44","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","8","Colouring swimming pool at Jijau Krida Sankulan","123,521.37","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","9","Colouring swimming pool at Jijau Krida Sankulan","122,829.31","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"21C","17-18","10","Electrical work","123,185.42","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","1","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","2","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","3","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","4","Buckets distribution","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","5","Buckets distribution","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","6","Thermoplastic strips painting on roads","151,580.72","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","7","Thermoplastic strips painting on roads","151,580.72","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","8","Distribution and installation of non-electric water disinfection system in PMC buildings","200,000.00","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","9","Bollards","195,324.80","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"21D","17-18","10","Bollards","195,324.80","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","1","Colouring at Samaj mandir, Balwadi","169,543.73","Colouring","Resolved","Code - Buildings/ Colouring??","Colouring","","","","","","","","","","","","","","","",""
"20A","18-19","2","Library and shed","196,656.91","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","3","Installation of name plates, road indicators, direction boards","178,631.22","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","4","Colouring at Samaj mandir","161,989.61","Colouring","Resolved","Code - Buildings/ Colouring??","Colouring","","","","","","","","","","","","","","","",""
"20A","18-19","5","Installation of solar street lights","140,893.50","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","6","Electrical work at Samaj Mandir","59,245.16","Electrification","Resolved","Code - Buildings/  Electrification?","Electrification","","","","","","","","","","","","","","","",""
"20A","18-19","7","Architectural work","87,974.58","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","8","Installation of chamber-mesh","196,229.45","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","9","Kerala Help fund","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","10","Furniture work","190,167.96","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"20A","18-19","11","Boring repairs","91,806.62","Bore wells","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","1","Picking up radar waste","194,672.83","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","2","Drainage line cleaning","199,539.20","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","3","Development work at Shaheen Sanskrutik Bhavan","198,781.00","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","4","Borewell installation and repair","105,320.82","Bore wells","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","5"," 'Aarogya-Kothi' repair","192,934.66","Buildings","Resolved","Code - Medical/ Buildings?","Aarogy kothi is related to cleaning","","","","","","","","","","","","","","","",""
"20B","18-19","6","Electrical works at Shaheen Sanskrutik Bhavan","125,080.22","Electrification","Resolved","Code - Buildings/  Electrification?","Electrification","","","","","","","","","","","","","","","",""
"20B","18-19","7","Improvement-related work at Private road","197,190.20","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","8","Kerala Help fund","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"20B","18-19","9","Miscelleneous Development work ","98,780.37","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","1","Channel fencing and development work","197,780.14","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","2","Library development work","197,865.28","Library","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","3","Picking up radar waste","194,672.83","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","4","Police Station repair and other development work","191,419.70","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","5","Samaj mandir repair and other development work","192,379.28","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","6","Drainage line replacement","96,851.41","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","7","Drainage line and chamber cleaning","185,577.87","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","8","Toilet repair and drainage work","196,395.60","Toilet","Resolved","Code - Toilet / Drainage??","Toilet","","","","","","","","","","","","","","","",""
"20C","18-19","9","Road development","197,194.78","Road","No Issue","","","","","","","","","","","","","","","","","",""
"20C","18-19","10"," 'Patra shed roads' development","196,825.36","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","1","Footpath repair","186,521.14","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","2","Concretization","199,288.33","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","3","Miscelleneous Development work ","197,045.76","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","4","Channel fencing","199,168.01","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","5","Benches","199,388.71","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","6","Purchasing of 'cubets'(??) for citizens","200,000.00","Dustbin/Buckets","Resolved","Code - ???","Development work is fine. ","","","","","","","","","","","","","","","",""
"20D","18-19","7","Kerala floor relief fund","100,000.00","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","8","Benches","199,388.71","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","9","Building related work","198,859.27","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","10","Miscelleneous Development work ","99,926.28","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","18-19","11","Toilet repair work","198,525.16","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"21A","18-19","1","Construction of 'Sanvidhan Konshila' at Dadasaheb magar school","182,595.02","Decoration","Resolved","Code - ???","Decoration","","","","","","","","","","","","","","","",""
"21A","18-19","2","Construction of 'Sanvidhan Konshila' at Ramabai Ambedkar school","187,485.65","Decoration","Resolved","Code - ???","Decoration","","","","","","","","","","","","","","","",""
"21A","18-19","3","Construction of 'Sanvidhan Konshila' at Kasturba Gandhi School","193,410.54","Decoration","Resolved","Code - ???","Decoration","","","","","","","","","","","","","","","",""
"21A","18-19","4","Construction of 'Sanvidhan Konshila' at Shantabai Dhole Patil School","161,530.19","Decoration","Resolved","Code - ???","Decoration","","","","","","","","","","","","","","","",""
"21A","18-19","5","Furniture work","145,410.56","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"21A","18-19","6","Name plates, Road indicator boards installation","199,928.06","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"21A","18-19","7","Water supply","199,371.60","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","1","Chamber repair work","162,516.15","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","2","Nameplates, Direction boards, Reflectors installation","175,124.05","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","4","Library repair work","175,913.06","Library","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","5","Virangula kendra development work","177,693.33","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","6","New library","195,850.30","Library","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","7","Thermoplastic strips painting on roads","163,987.21","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","8"," 'Anganwadi' repair work","199,424.91","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"21B","18-19","9","Bollards","198,519.82","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","1","Benches","164,996.79","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","2","Bird-shaped' dustbin installation","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","3","Electrical poles and related work","113,782.16","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","4","Concretization and bollards installation","197,940.79","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","5","Nameplates, Direction boards, sign boards installation","165,775.24","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","6","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","7","Miscelleneous Development work ","99,908.39","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","8","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","9","Repair works in schools","196,184.89","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"21C","18-19","10","Footpath repair","199,431.39","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","1","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","2","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","3","Buckets distribution for waste collection","200,000.00","Dustbin/Buckets","Resolved","Amount information unavailable.","Let's skip this work. ","","","","","","","","","","","","","","","",""
"21D","18-19","4","Benches","199,679.18","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","5","Benches","190,690.82","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","6","Bollards","198,619.23","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","7","Buckets distribution","200,000.00","Dustbin/Buckets","Resolved","Amount information unavailable.","Let's skip this work. ","","","","","","","","","","","","","","","",""
"21D","18-19","8","Bollards","195,324.80","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"21D","18-19","9","Borewell related work","178,122.28","Bore wells","No Issue","","","","","","","","","","","","","","","","","",""
"20A","19-20","1"," 'Patra shed' work","195,482.42","Buildings","Resolved","Code???","Buildings is right. ","","","","","","","","","","","","","","","",""
"20A","19-20","2","Installation of 'patra' and related work","199,043.80","Buildings","Resolved","Code???","Buildings is right. ","","","","","","","","","","","","","","","",""
"20A","19-20","3","Drainage line work","185,911.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20A","19-20","4","Balwadi and Samaj mandir - repair work","164,047.06","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","1","Boundary wall repair work","198,191.11","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","2","Buckets distribution","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","3","Electrical work","200,000.00","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","4","Decoration","199,081.07","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","5","Miscelleneous Development work ","199,301.15","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","6","Miscelleneous Development work ","199,398.39","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","7","Miscelleneous repair/maitenance work","198,260.56","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","8","Shed and platform for citizens","199,871.06","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20B","19-20","9","Cemetery - electrical work","200,000.00","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","1","Toilet repair work","185,756.03","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","2","Chamber and drainage manhole related work","197,410.05","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","3","Toilet repair work","197,963.28","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","4"," 'Patra shed' related work","176,651.81","Buildings","Resolved","Code - ??","Buildings is right. ","","","","","","","","","","","","","","","",""
"20C","19-20","5","Fire extinguisher installation","200,000.00","Fire Brigade","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","6","Fire extinguisher installation","200,000.00","Fire Brigade","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","7","Gym and library repair work","197,006.83","Gym","Resolved","Code - Gym/ Library??","Let's stick to library","","","","","","","","","","","","","","","",""
"20C","19-20","8","Gym and library repair work","197,452.42","Library","Resolved","Code - Gym/ Library??","Let's stick to library","","","","","","","","","","","","","","","",""
"20C","19-20","9","Toilet repair work","175,868.33","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20C","19-20","10","Toilet repair work","174,613.09","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","1","Buckets distribution","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","2","Wheelbarrow  distribution","200,000.00","Waste disposal","Resolved","Code - ??","Waste Disposal","","","","","","","","","","","","","","","",""
"20D","19-20","3","Benches","198,995.01","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","4","Development work at school","197,721.78","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","5","Toilet repair work","199,358.11","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","6","Miscelleneous Development work ","196,024.48","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","7","Fire extinguisher installation","100,000.00","Fire Brigade","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","8","Library ","198,981.73","Library","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","9","Library ","198,985.16","Library","No Issue","","","","","","","","","","","","","","","","","",""
"20D","19-20","10","Library ","199,905.93","Library","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","1","Panel installation and repair of regional office","196,551.49","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","2","Regional office in and out gate repair, decoration","198,916.27","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","3","Regional office gate work","198,993.46","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","4","Chamber repair and cleaning","199,709.44","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","5","Chamber repair and cleaning","199,782.02","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","6","Chamber repair ","196,657.44","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21A","19-20","7","Chamber repair ","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","1","Colouring","199,417.68","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","2","Decoration","199,239.04","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","3","Toilet decoration","199,386.88","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","4","Cloth bags distribution","100,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","5","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","6","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21B","19-20","7","Road development","200,000.00","Road","","","","","","","","","","","","","","","","","","",""
"21B","19-20","8","Building related work","200,000.00","Maintenance","","","","","","","","","","","","","","","","","","",""
"21B","19-20","9","Decoration","200,000.00","Decoration","","","","","","","","","","","","","","","","","","",""
"21B","19-20","10","Drainage","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21C","19-20","1","Chamber plaster and cleaning","95,507.89","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21C","19-20","2","Chamber repair and cleaning","199,608.53","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"21C","19-20","3"," 'Kothi' decoration","198,759.81","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"21C","19-20","4"," 'Patra-shed' installation","197,262.58","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"21C","19-20","5","Concretization","196,558.86","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"21C","19-20","6","Jute bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"21D","19-20","1"," 'Swachha abhiyan'  - awareness program","199,405.36","Colouring","Resolved","Code - ??","Mostly it will be under colouring. As they paint slogans at the public spaces.","","","","","","","","","","","","","","","",""
"21D","19-20","2","Benches","99,076.57","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"21D","19-20","3","Crematorium repair work","197,119.36","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"21D","19-20","4","Water supply and related work","194,415.80","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"21D","19-20","5","Water supply and related work","166,828.67","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","1","Toilet repair work (under Covid-19 scheme)","197,134.53","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","2","Toilet repair","198,770.54","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","3","Cloth masks purchasing","199,998.40","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","4","Balwadi and Samaj mandir - repair work","196,273.12","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","5","Drainage related work","197,848.03","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","6","Picking up radar waste","196,774.34","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","7","Picking up radar waste","196,632.37","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20A","20-21","8","Architectural work","199,782.81","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","1","Cloth masks purchasing","199,998.40","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","2","Direction indicators","199,041.19","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","3","Picking up radar waste","198,768.46","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","4","Cemetery development work","196,869.79","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","5"," 'Shaheen Sanskrutik bhavan' maintenance","197,361.15","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","6","Electrical work at Cemetery","124,395.31","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","7","Drainage repair work","197,822.20","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","8","Borewell related work","160,717.61","Bore wells","No Issue","","","","","","","","","","","","","","","","","",""
"20B","20-21","9","Water supply related work","193,275.37","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","1","Cloth masks purchasing","199,998.40","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","2","Toilet repair work","199,486.69","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","3","Drainage line related work","199,439.24","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","4","Toilet repair work","199,767.48","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","5","Picking up radar waste","192,568.99","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","6","Drainage line repair work","159,725.57","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","7","Drainage line replacement","175,909.71","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","8","Toilet repair work","197,042.52","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"20C","20-21","9","Drainage line related work","193,302.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
