"AUNDH - BANER","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"9B","18-19","1","Radaroda Uchalane ","89702.02","Cleaning","","",""
"9B","18-19","2","Putting a drainage line ","167,258.23","Drainage","","",""
"9B","18-19","3","Putting a drainage line ","166,934.00","Drainage","","",""
"9B","18-19","4","Installing Electricty poles","135,090.87","Electrification","","",""
"9B","18-19","5","Work related to electrification","137,157.73","Electrification","","",""
"9B","18-19","6","Providing benches ","82,983.43","Benches","","",""
"9B","18-19","7","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"9B","18-19","8","Providing jute bags ","200,000.00","Bags","","",""
"9B","18-19","9","Providing benches ","89,000.16","Benches","","",""
"9C","18-19","1","Cleaning drainage line with jetting machine ","167,415.68","Drainage","","",""
"9C","18-19","2","Concreitization in lanes ","179,892.27","Concretization","","",""
"9C","18-19","3","Work related to crematorium","162,852.65","Cemetory / Crematorium","","",""
"9C","18-19","4","Installing Signboards/nameboards ","162,772.06","Nameplates","","",""
"9C","18-19","5","Providing cold fogging myst blore machine ","200,000.00","Cleaning","Resolved","Didnt understand the purpose of this machine hence no code selected ",""
"9C","18-19","6","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"9D","18-19","1","Installing Signboards/nameboards ","146,727.99","Nameplates","","",""
"9D","18-19","2","Developmental work related to Virangula Kendra ","129,842.48","Buildings","","",""
"9D","18-19","3","Developmental work related to Mahila Bahuuddeshiya Bhavan ","145,257.70","Buildings","","",""
"9D","18-19","4","Installing nameboards ","159,939.03","Nameplates","","",""
"9D","18-19","5","Putting pavement block","164,462.52","Pavement blocks","","",""
"9D","18-19","6","Putting benches","200,000.00","Benches","","",""
"9D","18-19","7","Putting benches","200,000.00","Benches","","",""
"9D","18-19","8","Providing Jute/Cotton bags ","200,000.00","Bags","","",""
"9D","18-19","9","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"9D","18-19","10","Electrification work of ward","196,963.93","Electrification","","",""
"9D","18-19","15","Electrification work  ","196,910.70","Electrification","","",""
"9D","18-19","16","Electrification work  ","199,992.80","Electrification","","",""
"9D","18-19","17","Electrification work  ","199,780.00","Electrification","","",""
"8A","19-20","1","Providing computers in muncipal school","200,000.00","Computers","","",""
"8A","19-20","2","Providing computer to school","200,000.00","Computers","","",""
"8A","19-20","3","Providing jute bags ","200,000.00","Bags","","",""
"8A","19-20","4","Providng benches ","200,000.00","Benches","","",""
"8A","19-20","5","Providing jute bags ","200,000.00","Bags","","",""
"8A","19-20","6","Providng benches ","173,006.00","Benches","","",""
"8A","19-20","7","Rada roda work","173,006.00","Cleaning","","",""
"8A","19-20","8","Bore well work","185,871.00","Bore wells","","",""
"8A","19-20","9","Staircase for Vihar","168,977.24","Buildings","","",""
"8A","19-20","10","Providng benches ","139,512.04","Benches","","",""
"8A","19-20","11","Electrification work of Samaj Mandir ","194,436.70","Electrification","","",""
"8B","19-20","1","Putting up gate ","137,395.96","Fencing","","",""
"8B","19-20","2","Installing Signboards/nameboards ","175,205.36","Nameplates","","",""
"8B","19-20","3","Installing Signboards/nameboards ","176,620.59","Nameplates","","",""
"8B","19-20","4","Installing Signboards/nameboards ","175,205.36","Nameplates","","",""
"8B","19-20","5","Paverblock work ","68,556.36","Pavement blocks","","",""
"8B","19-20","6","Paverblock work ","97,540.00","Pavement blocks","","",""
"8B","19-20","7","Work related to electricity ","200,000.00","Electrification","","",""
"8B","19-20","8","Work related to electricity ","200,000.00","Electrification","","",""
"8C","19-20","3","Providing jute bags ","200,000.00","Bags","","",""
"8C","19-20","4","Providing jute bags ","200,000.00","Bags","","",""
"8C","19-20","5","Providing cotton bags ","200,000.00","Bags","","",""
"8C","19-20","6","Providing jute bags ","200,000.00","Bags","","",""
"8C","19-20","7","Concretization of road","177,862.00","Concretization","","",""
"8C","19-20","8","Concretization of road","177,547.00","Concretization","","",""
"8C","19-20","9","Computers for municipal schools ","200,000.00","Computers","","",""
"8C","19-20","10","Computer and printer for school","200,000.00","Computers","","",""
"8D","19-20","3","Providing Cotton bags ","200,000.00","Bags","","",""
"8D","19-20","4","Providing Cotton bags ","200,000.00","Bags","","",""
