"WANAWADI - RAM TEKDI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"25B","20-21","8","drainage related ","199,356.46","Drainage","","",""
"25B","20-21","9","drainage related ","199,555.01","Drainage","","",""
"25B","20-21","10","drainage related ","99,743.35","Drainage","","",""
"25C","20-21","1","electrification","181,159.52","Electrification","","",""
"25C","20-21","2","drainage related ","198,906.05","Drainage","","",""
"25C","20-21","3","cctv","199,705.56","CCTV","","",""
"25C","20-21","4","concritization ","197,384.43","Concretization","","",""
"25C","20-21","5","drainage related ","99,580.99","Drainage","","",""
"25C","20-21","6","toilet repair","199,343.76","Toilet","","",""
"25C","20-21","7","concritization ","197,247.38","Concretization","","",""
"25C","20-21","8","seema bhint bandhane","99,071.35","Fencing","","",""
"25C","20-21","9","smashanatle vividh durusti vishayak kame","199,646.68","Cemetory / Crematorium","","",""
"25C","20-21","10","smashan mukhya dar","199,495.07","Cemetory / Crematorium","","",""
"25C","20-21","11","electrification","99,420.00","Electrification","","",""
"25D","20-21","1","electrification","180,379.25","Electrification","","",""
"25D","20-21","2","electrification","181,659.72","Electrification","","",""
"25D","20-21","3","drainage related ","199,482.57","Drainage","","",""
"25D","20-21","4","drainage related ","198,939.34","Drainage","","",""
"25D","20-21","5","drainage related ","199,049.49","Drainage","","",""
"25D","20-21","6","drainage related ","199,049.49","Drainage","","",""
"25D","20-21","7","electrification","179,145.88","Electrification","","",""
"27A","20-21","1","electrification","199,136.02","Electrification","","",""
"27A","20-21","2","cleaning","163,968.05","Cleaning","","",""
"27A","20-21","3","cleaning","191,926.68","Cleaning","","",""
"27A","20-21","4","cleaning","188,078.52","Cleaning","","",""
"27A","20-21","5","drainage related ","197,802.80","Drainage","","",""
"27A","20-21","6","drainage related ","197,926.54","Drainage","","",""
"27A","20-21","7","mask","200,000.00","Help / Fund / Relief Work","","",""
"27A","20-21","8","sanitizer stand","199,109.12","Help / Fund / Relief Work","","",""
"27A","20-21","9","mask","200,000.00","Help / Fund / Relief Work","","",""
"27A","20-21","10","kapdi mask","199,840.00","Help / Fund / Relief Work","","",""
"27B","20-21","1","sanitizer stand","199,234.35","Help / Fund / Relief Work","","",""
"27B","20-21","2","mask","200,000.00","Help / Fund / Relief Work","","",""
"27B","20-21","3","drainage related ","194,418.66","Drainage","","",""
"27B","20-21","4","road related","195,492.85","Road","","",""
"27B","20-21","5","road cleaning","197,852.82","Cleaning","","",""
"27B","20-21","6","drainage related ","198,468.60","Drainage","","",""
"27B","20-21","7","drainage related ","198,743.54","Drainage","","",""
"27B","20-21","8","drainage related ","199,001.59","Drainage","","",""
"27B","20-21","9","road","96,450.92","Road","","",""
"27B","20-21","10","road related","99,276.24","Road","","",""
"27C","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"27C","20-21","2","drainage related ","199,387.50","Drainage","","",""
"27C","20-21","3","drainage related ","199,846.01","Drainage","","",""
"27C","20-21","4","handle free sanitizer","197,473.52","Help / Fund / Relief Work","","",""
"27C","20-21","5","durgandi dur karnyasathi natural sanitrate powder ","178,200.00","Cleaning","","",""
"27C","20-21","6","cleaning","195,565.62","Cleaning","","",""
"27C","20-21","7","drainage related ","197,432.50","Drainage","","",""
"27C","20-21","8","drainage related ","193,819.50","Drainage","","",""
"27C","20-21","9","drainage related ","197,664.63","Drainage","","",""
"27C","20-21","10","cleaning","193,783.71","Cleaning","","",""
"27D","20-21","1","sanitizer stand","199,556.45","Help / Fund / Relief Work","","",""
"27D","20-21","2","gym related","199,772.83","Gym","","",""
"27D","20-21","3","drainage related ","196,691.14","Drainage","","",""
"27D","20-21","4","cleaning","196,444.22","Cleaning","","",""
"27D","20-21","5","gym related","99,958.15","Gym","","",""
"27D","20-21","6","cleaning","195,571.47","Cleaning","","",""
"27D","20-21","7","dambrikaran","188,146.84","Road","","",""
"27D","20-21","8","lahan raste","196,573.64","Road","","",""
"27D","20-21","9","drainage related ","199,226.72","Drainage","","",""
"27D","20-21","10","cleaning","92,436.82","Cleaning","","",""
"25B","17-18","","water dispen. for schools ","190,000.00","Water supply","","",""
"25B","17-18","","water dispen. for schools ","190,000.00","Water supply","","",""
"25A","17-18","","jute bags","200,000.00","Bags","","",""
"25A","17-18","","jute bags","200,000.00","Bags","","",""
"25A","17-18","","jute bags","200,000.00","Bags","","",""
"27A","17-18","","benches","146,736.44","Benches","","",""
"27C","17-18","","benches","197,309.10","Benches","","",""
"27B","17-18","","benches","194,463.86","Benches","","",""
"27C","17-18","","benches","198,463.86","Benches","","",""
"25B","17-18","","jute bags","200,000.00","Bags","","",""
"25B","17-18","","jute bags","200,000.00","Bags","","",""
"25B","17-18","","jute bags","200,000.00","Bags","","",""
"27B","17-18","","bolard basavane","88,079.68","Steel Bollards","","",""
"27C","17-18","","bolard basavane","94,340.00","Steel Bollards","","",""
"27A","17-18","","bolard basavane","139,596.19","Steel Bollards","","",""
"27A","17-18","","bolard basavane","149,620.97","Steel Bollards","","",""
"27B","17-18","","BENCHES","163,555.40","Benches","","",""
"27A","17-18","","BENCHES","141,290.30","Benches","","",""
"24A","17-18","","DRAINAGE ","187,951.24","Drainage","","",""
"24A","17-18","","DRAINAGE ","187,813.74","Drainage","","",""
"27A","17-18","","BUILDING A LIBRARY","196,922.34","Library","","",""
"27A","17-18","","BENCHES","43,671.00","Benches","","",""
"24B","17-18","","sign boards","175,000.34","Nameplates","","",""
"27A","17-18","","rada roda","175,240.80","Cleaning","","",""
"27B","17-18","","concretization","182,361.34","Concretization","","",""
"27B","17-18","","concretization","181,679.71","Concretization","","",""
"27D","17-18","","Kusti-akhada development work","155,819.68","Garden","","",""
"27B","17-18","","concretization","182,009.70","Concretization","","",""
"27A","17-18","","thermoplastic paint","42,126.00","Traffic","","",""
"27A","17-18","","library","182,476.01","Library","","",""
"24A","17-18","","BENCHES","141,124.62","Benches","","",""
"25A","17-18","","electrification","67,781.77","Electrification","","",""
"27C","17-18","","DRAINAGE ","189,504.10","Drainage","","",""
"27C","17-18","","DRAINAGE ","189,353.72","Drainage","","",""
"27C","17-18","","DRAINAGE ","189,493.37","Drainage","","",""
"25D","17-18","","concretization","137,536.00","Concretization","","",""
"27D","17-18","","kapdi bags","190,000.00","Bags","","",""
"25C","17-18","","interlocking blocks","137,259.51","Pavement blocks","","",""
"25C","17-18","","interlocking blocks","137,255.28","Pavement blocks","","",""
"25C","17-18","","interlocking blocks","137,084.22","Pavement blocks","","",""
"25D","17-18","","interlocking blocks","136,949.48","Pavement blocks","","",""
"25D","17-18","","concretization","137,042.26","Concretization","","",""
"25D","17-18","","interlocking blocks","137,251.25","Pavement blocks","","",""
"25D","17-18","","interlocking blocks","137,042.08","Pavement blocks","","",""
"25D","17-18","","concretization","137,488.86","Concretization","","",""
"25C","17-18","","concretization","137,034.17","Concretization","","",""
"25C","17-18","","interlocking blocks","137,193.24","Pavement blocks","","",""
"25C","17-18","","concretization","137,579.04","Concretization","","",""
"25C","17-18","","concretization","137,228.71","Concretization","","",""
"25C","17-18","","concretization","137,502.92","Concretization","","",""
"25C","17-18","","concretization","135,244.33","Concretization","","",""
"24A","17-18","","drainage ","187,583.63","Drainage","","",""
"24A","17-18","","BENCHES","142,810.50","Benches","","",""
"24B","17-18","","BENCHES","142,027.74","Benches","","",""
"24A","17-18","","rada roda","139,008.36","Cleaning","","",""
"24A","17-18","","concretization","98,254.64","Concretization","","",""
"25D","17-18","","interlocking blocks","127,939.04","Pavement blocks","","",""
"25D","17-18","","interlocking blocks","128,667.58","Pavement blocks","","",""
"27D","17-18","","name plates","130,643.43","Nameplates","","",""
"27D","17-18","","name plates","131,519.95","Nameplates","","",""
"27C","17-18","","concretization","189,469.94","Concretization","","",""
"27C","17-18","","drainage ","94,809.05","Drainage","","",""
"24A","17-18","","kapdi bags","200,000.00","Bags","","",""
"24A","17-18","","kapdi bags","200,000.00","Bags","","",""
"24A","17-18","","kapdi bags","200,000.00","Bags","","",""
"27B","17-18","","rada roda","82,752.60","Cleaning","","",""
"27C","17-18","","concretization","189,038.25","Concretization","","",""
"27C","17-18","","rada roda","189,070.90","Cleaning","","",""
"27C","17-18","","rada roda","176,457.75","Cleaning","","",""
"25C","17-18","","bhint bandhne","139,993.27","Fencing","","",""
"24B","17-18","","road","139,395.59","Road","","",""
"24B","17-18","","2 par galya karne","152,693.07","Road","","",""
"24B","17-18","","road","161,573.79","Road","","",""
"24B","17-18","","road","160,946.41","Road","","",""
