"KOTHRUD - BAVDHAN","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"10A","20-21","7","sanitizer ","199,614.03","Help / Fund / Relief Work","","",""
"10A","20-21","8","kapdi mask","200,000.00","Help / Fund / Relief Work","","",""
"10A","20-21","9","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10A","20-21","10","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10B","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"10B","20-21","2","phenyle","199,968.00","Cleaning","","",""
"10B","20-21","3","mask","200,000.00","Help / Fund / Relief Work","","",""
"10B","20-21","4","soap","200,000.00","Help / Fund / Relief Work","","",""
"10B","20-21","5","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10B","20-21","6","sanitizer stand","199,614.06","Help / Fund / Relief Work","","",""
"10B","20-21","7","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10B","20-21","8","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10B","20-21","9","mask","200,000.00","Help / Fund / Relief Work","","",""
"10B","20-21","10","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10C","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"10C","20-21","2","sanitizer stand","199,949.09","Help / Fund / Relief Work","","",""
"10C","20-21","3","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10C","20-21","4","mask","200,000.00","Help / Fund / Relief Work","","",""
"10C","20-21","5","traffic related","199,880.35","Traffic","","",""
"10C","20-21","6","thermoplastic paint ","199,887.52","Traffic","","",""
"10C","20-21","7","traffic related","199,887.52","Traffic","","",""
"10D","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","2","soap","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","3","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10D","20-21","4","mask","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","5","mask","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","6","mask","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","7","soap","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","8","mask","200,000.00","Help / Fund / Relief Work","","",""
"10D","20-21","9","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"10D","20-21","10","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"11A","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"11A","20-21","2","soap","200,000.00","Help / Fund / Relief Work","","",""
"11A","20-21","3","electrical work for toilets","190,964.00","Electrification","","",""
"11A","20-21","4","toilet repair","173,602.20","Toilet","","",""
"11A","20-21","5","road kothi kariyalay and anganwadi concretization","166,863.22","Concretization","","",""
"11A","20-21","6","drainage cleaning","168,009.53","Drainage","","",""
"11B","20-21","1","mask","199,911.00","Help / Fund / Relief Work","","",""
"11B","20-21","2","mask","200,000.00","Help / Fund / Relief Work","","",""
"11B","20-21","3","phenyle","199,968.00","Cleaning","","",""
"11B","20-21","4","sanitizer stand","199,614.03","Help / Fund / Relief Work","","",""
"11B","20-21","5","soap","200,000.00","Help / Fund / Relief Work","","",""
"11B","20-21","6","soap","200,000.00","Help / Fund / Relief Work","","",""
"11B","20-21","7","phenyle","199,968.00","Cleaning","","",""
"11C","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"11C","20-21","2","mask","188,500.00","Help / Fund / Relief Work","","",""
"11C","20-21","3","pani rodhak tasech swacha honarya lepasah vividh sandesh lavne","188,960.28","Nameplates","Resolved","",""
"11C","20-21","4","soap","189,500.00","Help / Fund / Relief Work","","",""
"11C","20-21","5","rada roda uchalne","189,457.29","Cleaning","","",""
"11C","20-21","6","sanitizer stand","199,614.05","Help / Fund / Relief Work","","",""
"11C","20-21","7","mask","200,000.00","Help / Fund / Relief Work","","",""
"11C","20-21","8","mask","200,000.00","Help / Fund / Relief Work","","",""
"11D","20-21","1","electrification works","115,980.93","Electrification","","",""
"11D","20-21","2","electrification works","136,641.33","Electrification","","",""
"11D","20-21","3","concretization","199,281.02","Concretization","","",""
"11D","20-21","4","new drainage line ","173,094.96","Drainage","","",""
"11D","20-21","5","chamber cleaning","129,439.35","Drainage","","",""
"11D","20-21","6","drainage related","130,466.50","Drainage","","",""
"11D","20-21","7","road repair","169,497.45","Road","","",""
"11D","20-21","8","concretization","142,604.53","Concretization","","",""
"11D","20-21","9","chamber badalne","162,475.94","Drainage","","",""
"12A","20-21","1","mask","200,000.00","Help / Fund / Relief Work","","",""
"12A","20-21","2","mask","200,000.00","Help / Fund / Relief Work","","",""
"12A","20-21","3","soap","200,000.00","Help / Fund / Relief Work","","",""
"12A","20-21","4","drainage related","198,824.00","Drainage","","",""
"12A","20-21","5","soap","200,000.00","Help / Fund / Relief Work","","",""
"12A","20-21","6","mask","199,977.00","Help / Fund / Relief Work","","",""
"12A","20-21","7","mask","200,000.00","Help / Fund / Relief Work","","",""
"12A","20-21","8","phenyle","199,926.00","Cleaning","","",""
"12A","20-21","9","soap","200,000.00","Help / Fund / Relief Work","","",""
"12A","20-21","10","rada roda uchalne","199,956.96","Cleaning","","",""
"12B","20-21","1","kapdi mask","195,500.00","Help / Fund / Relief Work","","",""
"12B","20-21","2","soap","200,000.00","Help / Fund / Relief Work","","",""
"12B","20-21","3","phenyle","199,941.00","Cleaning","","",""
"12B","20-21","4","mask","200,000.00","Help / Fund / Relief Work","","",""
"12B","20-21","5","mask","200,000.00","Help / Fund / Relief Work","","",""
"12B","20-21","6","phenyle","199,941.60","Cleaning","","",""
"12B","20-21","7","soap","200,000.00","Help / Fund / Relief Work","","",""
"12C","20-21","1","mask","195,500.00","Help / Fund / Relief Work","","",""
"12C","20-21","2","chamber repair","198,698.08","Drainage","","",""
"12C","20-21","3","pavement works","199,729.42","Pavement blocks","","",""
"12C","20-21","4","thermoplastic paint ","197,733.56","Traffic","","",""
"12C","20-21","5","disha darsha falak","199,067.68","Nameplates","","",""
"12C","20-21","6","suchana falak","199,406.46","Nameplates","","",""
"12C","20-21","7","Coloring","199,300.64","Colouring","","",""
"12C","20-21","8","footpath repair","199,000.67","Footpath","","",""
"12C","20-21","9","drainage line repair","199,497.64","Drainage","","",""
"12D","20-21","1","kapdi mask","50,000.00","Help / Fund / Relief Work","","",""
"12D","20-21","2","kapdi mask","50,000.00","Help / Fund / Relief Work","","",""
"12D","20-21","3","kapdi mask","50,000.00","Help / Fund / Relief Work","","",""
"12D","20-21","4","kapdi mask","50,000.00","Help / Fund / Relief Work","","",""
"12D","20-21","5","sanitizer stand","199,684.16","Help / Fund / Relief Work","","",""
"12D","20-21","6","kapdi mask, soap, lisol","199,920.00","Help / Fund / Relief Work","","",""
"12D","20-21","7","thermoplastic paint ","199,948.67","Traffic","","",""
"12D","20-21","8","thermoplastic paint and cateye","199,800.16","Traffic","","",""
"12D","20-21","9","shed","199,888.94","Buildings","Resolved","",""
"12D","20-21","10","kachra gadya puravne","199,690.40","Waste disposal","","",""
"12D","20-21","11","Benches","199,947.42","Benches","Resolved","",""
"12D","20-21","12","rada roda uchalne","199,956.96","Cleaning","","",""
"12D","20-21","13","electric work for hospital","196,067.84","Electrification","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
