"KASBA - VISHRAMBAUG WADA","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"29A","18-19","1","Furniture works","199,593.66","Furniture","No Issue","",""
"29A","18-19","2","Cloth bags","200,000.00","Bags","No Issue","",""
"29A","18-19","3","Cloth bags","200,000.00","Bags","No Issue","",""
"29A","18-19","4","Cloth bags","200,000.00","Bags","No Issue","",""
"29A","18-19","5","Cloth bags","200,000.00","Bags","No Issue","",""
"29A","18-19","6","Cloth bags","200,000.00","Bags","No Issue","",""
"29A","18-19","7","Thermoplastic paint on roads","175,550.09","Traffic","No Issue","",""
"29B","18-19","1","Work on visarjan ghat","191,940.50","Ganeshotsav","No Issue","",""
"29B","18-19","2","Development works at Arogya kothi","199,772.81","Buildings","No Issue","",""
"29B","18-19","3","Shed at arogya kothi","94,068.68","Buildings","No Issue","",""
"29B","18-19","4","Shed peshwe samadhi","197,349.45","Buildings","No Issue","",""
"29B","18-19","5","Fencing","198,768.51","Fencing","No Issue","",""
"29B","18-19","6","Development works","201,105.00","Development work","No Issue","",""
"29B","18-19","7","Paver blocks ","199,468.12","Pavement blocks","No Issue","",""
"29B","18-19","8","Water dispenser at crematorium","157,966.10","Water supply","Resolved","Amount in the sheet is 1579661.00",""
"29C","18-19","1","Development works at Gym","197,538.37","Gym","No Issue","",""
"29C","18-19","2","Water tanks cleaning","198,200.50","Cleaning","No Issue","",""
"29C","18-19","3","Cleaning work- Rada roda","198,416.64","Cleaning","No Issue","",""
"29C","18-19","4","Cleaning work- Rada roda","98,889.57","Cleaning","No Issue","",""
"29C","18-19","5","Cleaning work- Rada roda","196,467.05","Cleaning","No Issue","",""
"29C","18-19","6","Electrical works in toilets","88,825.97","Electrification","No Issue","",""
"29C","18-19","7","CCTV camera ","199,927.40","CCTV","No Issue","",""
"29C","18-19","8","Cleaning work- Rada roda","99,309.99","Cleaning","No Issue","",""
"29D","18-19","1","Development works at Virangula kendra","197,670.44","Buildings","No Issue","",""
"29D","18-19","2","Jute bags distributed","200,000.00","Bags","No Issue","",""
"29D","18-19","3","Development works at Virangula kendra","179,344.52","Buildings","No Issue","",""
"29D","18-19","4","Electrical works","190,874.47","Electrification","No Issue","",""
"29D","18-19","5","Nameplates","94,580.21","Nameplates","No Issue","",""
"29D","18-19","6","Thermoplastic paint on roads","179,726.40","Traffic","No Issue","",""
"29D","18-19","7","Library shed","189,696.65","Library","No Issue","",""
"15A","19-20","1","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15A","19-20","2","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15A","19-20","3","Jute bags distributed","100,000.00","Bags","No Issue","",""
"15A","19-20","4","Nameplates","198,869.36","Nameplates","No Issue","",""
"15A","19-20","5","Toilet repairs","184,735.19","Toilet","No Issue","",""
"15A","19-20","6","Nameplates","98,672.52","Nameplates","No Issue","",""
"15A","19-20","7","Repair works in a study","95,457.21","Library","No Issue","",""
"15B","19-20","1","Concretization work ","193,508.24","Concretization","No Issue","",""
"15B","19-20","2","Concretization work ","193,103.78","Concretization","No Issue","",""
"15B","19-20","3","Concretization work ","195,365.92","Concretization","No Issue","",""
"15B","19-20","4","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15B","19-20","5","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15B","19-20","6","Jute bags distributed","100,000.00","Bags","No Issue","",""
"15B","19-20","7","Footpath work","193,514.92","Footpath","No Issue","",""
"15B","19-20","8","Drainage repairs","197,272.02","Drainage","No Issue","",""
"15B","19-20","9","Drainage repairs","197,272.02","Drainage","No Issue","",""
"15B","19-20","10","Repair and maintenance works","179,136.00","Maintenance","No Issue","",""
"15C","19-20","1","Toilet repairs","127,602.18","Toilet","No Issue","",""
"15C","19-20","2","Concretization work ","128,964.51","Concretization","No Issue","",""
"15C","19-20","3","Drainage repairs","199,268.85","Drainage","No Issue","",""
"15C","19-20","4","Drainage repairs","198,733.49","Drainage","No Issue","",""
"15C","19-20","5","Footpath work","152,633.55","Footpath","No Issue","",""
"15C","19-20","6","Drainage repairs","157,579.60","Drainage","No Issue","",""
"15C","19-20","7","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15C","19-20","8","Library shed","192,129.66","Library","No Issue","",""
"15D","19-20","1","Toilet repairs","181,405.54","Toilet","No Issue","",""
"15D","19-20","2","Nameplates","179,162.12","Nameplates","No Issue","",""
"15D","19-20","3","Thermoplastic paint on roads","179,531.80","Traffic","No Issue","",""
"15D","19-20","4","Thermoplastic paint on roads","99,599.07","Traffic","No Issue","",""
"15D","19-20","5","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15D","19-20","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15D","19-20","7","Toilet repairs","192,724.12","Toilet","No Issue","",""
"15D","19-20","8","Jute bags distributed","100,000.00","Bags","No Issue","",""
"16A","19-20","1","Footpath work","167,709.16","Footpath","No Issue","",""
"16A","19-20","2","Street light poles","196,583.19","Electrification","No Issue","",""
"16A","19-20","3","Street light poles","196,583.19","Electrification","No Issue","",""
"16A","19-20","4","Cleaning work- Rada roda","197,447.33","Cleaning","No Issue","",""
"16A","19-20","5","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16A","19-20","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16A","19-20","7","Jute bags distributed","100,000.00","Bags","No Issue","",""
"16A","19-20","8","Drainage repairs","170,141.78","Drainage","No Issue","",""
"16B","19-20","1","Drainage repairs","197,650.90","Drainage","No Issue","",""
"16B","19-20","2","Drainage repairs","198,340.59","Drainage","No Issue","",""
"16B","19-20","3","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16B","19-20","4","Drainage repairs","197,640.80","Drainage","No Issue","",""
"16B","19-20","5","Storm water drainage repairs","191,799.94","Drainage","No Issue","",""
"16B","19-20","6","Drainage repairs","199,026.98","Drainage","No Issue","",""
"16B","19-20","7","Electrical works","199,356.64","Electrification","No Issue","",""
"16B","19-20","8","Electrical works","197,669.92","Electrification","No Issue","",""
"16B","19-20","9","Electrical works","199,183.04","Electrification","No Issue","",""
"16B","19-20","10","Electrical works","195,074.88","Electrification","No Issue","",""
"16C","19-20","1","Tulshi vrundavan designed pole","196,593.19","Electrification","No Issue","",""
"16C","19-20","2","Tulshi vrundavan designed pole","196,583.19","Electrification","No Issue","",""
"16C","19-20","3","Nameplates","99,071.85","Nameplates","No Issue","",""
"16C","19-20","4","Water pipeline","194,135.70","Water supply","No Issue","",""
"16C","19-20","5","Fire extinguishers in school","200,000.00","Buildings","No Issue","",""
"16C","19-20","6","Electrical works","99,998.08","Electrification","No Issue","",""
"16C","19-20","7","Nameplates","159,430.51","Nameplates","No Issue","",""
"16D","19-20","1","Drainage repairs","193,359.43","Drainage","No Issue","",""
"16D","19-20","2","Footpath work","93,871.28","Footpath","No Issue","",""
"16D","19-20","3","Drainage repairs","169,916.96","Drainage","No Issue","",""
"29A","19-20","1","Library shed","199,229.97","Library","No Issue","",""
"29A","19-20","2","Library shed","199,845.74","Library","No Issue","",""
"29A","19-20","3","Concretization work ","196,071.48","Concretization","No Issue","",""
"29A","19-20","4","Concretization work ","198,988.14","Concretization","No Issue","",""
"29A","19-20","5","Nameplates","176,764.26","Nameplates","No Issue","",""
"29A","19-20","6","Repair works at a study","86,975.26","Library","No Issue","",""
"29A","19-20","7","Nameplates","99,368.62","Nameplates","No Issue","",""
"29B","19-20","1","Development works","197,014.70","Development work","No Issue","",""
"29B","19-20","2","Colouring works","171,170.75","Colouring","No Issue","",""
"29B","19-20","3","Development works","197,781.02","Development work","No Issue","",""
"29B","19-20","4","Channeling net","196,276.15","Fencing","No Issue","",""
"29B","19-20","5","Development works in school","98,835.52","Buildings","No Issue","",""
"29B","19-20","6","Repair and maintenance works","194,789.76","Buildings","No Issue","",""
"29B","19-20","7","Cleaning work- Rada roda","196,548.06","Cleaning","No Issue","",""
"29B","19-20","8","Jute bags distributed","200,000.00","Bags","No Issue","",""
"29B","19-20","9","Jute bags distributed","200,000.00","Bags","No Issue","",""
"29C","19-20","1","Drainage repairs","162,209.18","Drainage","No Issue","",""
"29C","19-20","2","Paver blocks ","195,666.14","Pavement blocks","No Issue","",""
"29C","19-20","3","Drainage repairs","197,169.46","Drainage","No Issue","",""
"29C","19-20","4","Cleaning work- Rada roda","199,549.50","Cleaning","No Issue","",""
"29C","19-20","5","Cleaning water tanks","198,306.09","Cleaning","No Issue","",""
"29C","19-20","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"29C","19-20","7","Cleaning work- Rada roda","98,982.18","Cleaning","No Issue","",""
"29C","19-20","8","Cleaning work- Rada roda","199,569.47","Cleaning","No Issue","",""
"29C","19-20","9","Cleaning work- Rada roda","199,489.59","Cleaning","No Issue","",""
"29C","19-20","10","Cleaning work- Rada roda","199,489.59","Cleaning","No Issue","",""
"29D","19-20","1","Library shed","99,797.37","Library","No Issue","",""
"29D","19-20","2","Library repairs","18,750.09","Library","No Issue","",""
"29D","19-20","3","Library repairs","199,451.84","Library","No Issue","",""
"29D","19-20","4","Library shed","99,730.72","Library","No Issue","",""
"29D","19-20","5","Nameplates","199,024.80","Nameplates","No Issue","",""
"29D","19-20","6","Library shed","99,974.02","Library","No Issue","",""
"29D","19-20","7","Eletrical works","197,126.72","Electrification","No Issue","",""
"29D","19-20","8","Open gym","197,579.20","Gym","No Issue","",""
"29D","19-20","9","Jute bags distributed","199,920.00","Bags","No Issue","",""
"29D","19-20","10","Library shed","199,489.59","Library","No Issue","",""
"15A","20-21","1","Drainage repairs","196,518.31","Drainage","No Issue","",""
"15A","20-21","2","Cleaning work- Rada roda","199,689.28","Cleaning","No Issue","",""
"15A","20-21","3","Toilet repairs","165,155.88","Toilet","No Issue","",""
"15A","20-21","4","Library shed","165,173.76","Library","No Issue","",""
"15A","20-21","5","Library shed","164,113.08","Library","No Issue","",""
"15A","20-21","6","Building repairs","170,509.48","Buildings","No Issue","",""
"15A","20-21","7","Paver blocks ","174,759.41","Pavement blocks","No Issue","",""
"15A","20-21","8","Drainage repairs","179,525.81","Drainage","No Issue","",""
"15B","20-21","1","Footpath work","198,655.26","Footpath","No Issue","",""
"15B","20-21","2","Footpath work","198,699.04","Footpath","No Issue","",""
"15B","20-21","3","Drainage repairs","198,998.27","Drainage","No Issue","",""
"15B","20-21","4","Drainage repairs","198,241.88","Drainage","No Issue","",""
"15B","20-21","5","Drainage repairs","195,299.91","Drainage","No Issue","",""
"15B","20-21","6","Drainage repairs","199,502.50","Drainage","No Issue","",""
"15B","20-21","7","Cleaning work- Rada roda","178,055.80","Cleaning","No Issue","",""
"15B","20-21","8","Drainage repairs","198,746.88","Drainage","No Issue","",""
"15B","20-21","9","Drainage repairs","199,005.22","Drainage","No Issue","",""
"15B","20-21","10","Drainage repairs","195,940.23","Drainage","No Issue","",""
"15C","20-21","1","Drainage repairs","199,300.89","Drainage","No Issue","",""
"15C","20-21","2","Toilet repairs","193,686.26","Toilet","No Issue","",""
"15C","20-21","3","Library shed","193,614.02","Library","No Issue","",""
"15C","20-21","4","Footpath work","193,955.53","Footpath","No Issue","",""
"15C","20-21","5","Storm water drainage repairs","196,661.60","Drainage","No Issue","",""
"15C","20-21","6","Development work in school","199,686.12","Buildings","No Issue","",""
"15C","20-21","7","Drainage repairs","199,590.61","Drainage","No Issue","",""
"15C","20-21","8","Repair works in Municipal clinic","193,450.16","Buildings","No Issue","",""
"15C","20-21","9","Toilet repairs","193,450.16","Toilet","No Issue","",""
"15C","20-21","10","Cleaning work- Rada roda","198,370.00","Cleaning","No Issue","",""
"15D","20-21","1","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"15D","20-21","2","Cleaning work- Rada roda","176,860.00","Cleaning","No Issue","",""
"15D","20-21","3","Storm water drainage repairs","195,267.99","Drainage","No Issue","",""
"15D","20-21","4","Drainage repairs","197,026.66","Drainage","No Issue","",""
"15D","20-21","5","Storm water drainage repairs","198,373.82","Drainage","No Issue","",""
"15D","20-21","6","Toilet repairs","191,622.60","Toilet","No Issue","",""
"15D","20-21","7","Library shed","198,984.07","Library","No Issue","",""
"15D","20-21","8","Paver blocks ","198,984.07","Pavement blocks","No Issue","",""
"15D","20-21","9","Library shed","191,993.97","Library","No Issue","",""
"15D","20-21","10","Cleaning material supply","199,962.87","Cleaning","No Issue","",""
"16A","20-21","1","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"16A","20-21","2","Cleaning material supply","199,986.00","Cleaning","No Issue","",""
"16A","20-21","3","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"16A","20-21","4","Water pipeline","185,570.94","Water supply","No Issue","",""
"16A","20-21","5","Drainage repairs","164,792.35","Drainage","No Issue","",""
"16A","20-21","6","Footpath work","163,029.88","Footpath","No Issue","",""
"16A","20-21","7","Cleaning work- Rada roda","138,859.00","Cleaning","No Issue","",""
"16A","20-21","8","Drainage repairs","167,488.68","Drainage","No Issue","",""
"16B","20-21","1","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"16B","20-21","2","Hand Sanitizers","197,214.46","Help / Fund / Relief Work","No Issue","",""
"16B","20-21","3","Storm water drainage repairs","194,217.20","Drainage","No Issue","",""
"16B","20-21","4","Drainage repairs","197,844.23","Drainage","No Issue","",""
"16B","20-21","5","Drainage repairs","197,792.57","Drainage","No Issue","",""
"16B","20-21","6","Drainage repairs","171,446.72","Drainage","No Issue","",""
"16B","20-21","7","Drainage repairs","197,638.22","Drainage","No Issue","",""
"16B","20-21","8","Drainage repairs","197,971.40","Drainage","No Issue","",""
"16B","20-21","9","Drainage repairs","197,397.29","Drainage","No Issue","",""
"16B","20-21","10","Drainage repairs","195,574.42","Drainage","No Issue","",""
"16C","20-21","1","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"16C","20-21","2","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"16C","20-21","3","Water pipeline","145,344.68","Water supply","No Issue","",""
"16C","20-21","4","Water pipeline","194,937.02","Water supply","No Issue","",""
"16C","20-21","5","Toilet repairs","193,523.30","Toilet","No Issue","",""
"16C","20-21","6","Nameplates","193,567.20","Nameplates","No Issue","",""
"16C","20-21","7","Development works at Gym","199,017.45","Gym","No Issue","",""
"16C","20-21","8","Drainage repairs","156,185.74","Drainage","No Issue","",""
"16C","20-21","9","Drainage repairs","75,927.23","Drainage","No Issue","",""
"16C","20-21","10","Nameplates","77,924.85","Nameplates","No Issue","",""
"16D","20-21","1","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"16D","20-21","2","Footpath work","194,227.99","Footpath","No Issue","",""
"16D","20-21","3","Drainage repairs","197,033.22","Drainage","No Issue","",""
"16D","20-21","4","Drainage repairs","196,684.40","Drainage","No Issue","",""
"16D","20-21","5","Development works","196,176.70","Development work","No Issue","",""
"16D","20-21","6","Footpath work","193,625.22","Footpath","No Issue","",""
"16D","20-21","7","Drainage repairs","196,928.54","Drainage","No Issue","",""
"16D","20-21","8","Drainage repairs","199,483.35","Drainage","No Issue","",""
"16D","20-21","9","Cleaning work- Rada roda","172,080.00","Cleaning","No Issue","",""
"29A","20-21","1","Distributing masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
