"BHAVANI PETH","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"19D","17-18","13","Cleaning with Jetting Machine","191,268.14","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","1","Footpath Consturction","92,096.14","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","2","Drainage line and chamber repairs","192,684.28","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","3","Drainage line and chamber repairs","196,779.41","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","4","Drainage Line repairs and related works","197,805.63","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","5","Drainage Line repairs ","197,406.15","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","6","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","7","Drainage Line repairs and related works","197,333.62","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","8","Electricity Related works","152,603.79","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"17A","18-19","9","Electricity Related works","152,935.18","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","4","Bollard Installation","195,961.38","Steel Bollards","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","5","Direction boards","197,889.89","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","6","Direction boards","193,808.33","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"17B","18-19","7","Public tap repairs","182,515.97","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"17C","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17C","18-19","2","Drainage Line Repairs","196,915.76","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","18-19","3","Footpath repairs","97,869.13","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17C","18-19","4","Drainage Line repairs and related works","197,494.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","18-19","5","Joshi Hall repairs","189,459.63","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","5","Storm Water drainage line and Chamber clearing and cleaning","187,690.72","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","6","Garbage Pick up","197,344.22","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","7","Footpath repairs","91,199.38","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","8","Toilet repairs","192,287.49","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","9","Chamber alignment and repair works","196,297.10","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","18-19","10","Garbage Pick up","198,340.91","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","1","Health center repair","194,261.75","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","2","Footpath repiars","197,782.06","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","5","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","6","Garbage Pick up","199,138.26","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","7","Health center repair","190,113.34","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"18A","18-19","8","Yoga hall repairs","169,797.70","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"18B","18-19","1","Doors and gate installation at Health Club","85,614.46","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"18B","18-19","2","Doors and gate installation at Health Club","86,657.93","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"18B","18-19","3","Drainage related works","197,436.35","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","18-19","4","Drainage related works","198,064.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","18-19","5","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18B","18-19","6","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18C","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18C","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18C","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18C","18-19","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","5","Mominpura Kabristan development works","199,236.02","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","6","Footpath repairs","161,769.68","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","7","Footpath repairs","159,737.76","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"18D","18-19","8","Concretization","196,028.63","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"19A","18-19","1","Beautification of area around stadium","196,466.98","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"19A","18-19","2","Footpath repairs","196,479.65","Footpath","Resolved","","","","","","","","","","","","","","","","","",""
"19A","18-19","3","Arc (kamaan) repairs","191,539.71","Maintenance","Resolved","Check for reclassification of expense code","","","","","","","","","","","","","","","","",""
"19A","18-19","4","Information boards installlation","162,100.76","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19A","18-19","5","Garbage Pick up","197,364.16","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","1","Drainage repairs","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","2","Ward Office building repairs","197,609.34","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","3","Thermoplastic paint application","197,396.98","Road","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","4","Direction boards","197,008.26","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","5","Drainage Chamber alignment and cleaning of drainage","196,086.14","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","6","Corporation Building repairs","191,499.97","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"19B","18-19","7","Concrete repairs related","191,563.37","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","3","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
