"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"7A","20-21","7","Brooms provided for 'Arogya Kothi'","200,000.00","Waste disposal","No Issue","",""
"7A","20-21","8","P.M.C. colony related repair work","196,000.00","Maintenance","No Issue","",""
"7A","20-21","9","School rooms painting","177,000.00","Colouring","No Issue","",""
"7B","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7B","20-21","2","Black phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","20-21","3","Library construction","181,000.00","Library","No Issue","",""
"7B","20-21","4","Library construction","191,000.00","Library","No Issue","",""
"7B","20-21","5","Fragrant phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","20-21","6","Library construction","200,000.00","Library","No Issue","",""
"7B","20-21","7","Brooms provided for 'Arogya Kothi'","200,000.00","Waste disposal","No Issue","",""
"7B","20-21","8","Brooms distribution","200,000.00","Waste disposal","No Issue","",""
"7B","20-21","9"," 'Baudhha-Vihar' repair work","199,000.00","Buildings","No Issue","",""
"7B","20-21","10","School rooms painting","196,000.00","Colouring","No Issue","",""
"7C","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7C","20-21","2","Sensor-wash basin installation in Covid-zones","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7C","20-21","3","Acid and phenyl provided for 'Arogya Kothi'","200,000.00","Cleaning","No Issue","",""
"7C","20-21","4","Hand free sanitizer stand distribution","192,000.00","Help / Fund / Relief Work","No Issue","",""
"7C","20-21","5","Computers and printers distribution","198,000.00","Computers","No Issue","",""
"7C","20-21","6","Computers and printers distribution","198,000.00","Computers","No Issue","",""
"7D","20-21","1","Hand free wash basin installation","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7D","20-21","2","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7D","20-21","3","Sensor-wash basin installation in Covid-zones","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7D","20-21","4","Shed construction near Toilet and related work","168,000.00","Buildings","No Issue","",""
"7D","20-21","5","Fragrant phenyl distribution","200,000.00","Cleaning","No Issue","",""
"7D","20-21","6","Basin and water-taps installation is schools","199,000.00","Water supply","No Issue","",""
"7D","20-21","7","School painting","195,000.00","Colouring","No Issue","",""
"7D","20-21","8","School rooms painting","197,000.00","Colouring","No Issue","",""
"7D","20-21","9","Walls-painting","199,000.00","Decoration","No Issue","",""
"7D","20-21","10","Walls-painting","199,000.00","Decoration","No Issue","",""
"14A","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14A","20-21","2","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14A","20-21","3","Toilet repair and related work","200,000.00","Toilet","No Issue","",""
"14A","20-21","4","Toilet repair and related work","200,000.00","Toilet","No Issue","",""
"14A","20-21","5","Drainage line repair","200,000.00","Drainage","No Issue","",""
"14A","20-21","6","Picking up radar waste","200,000.00","Cleaning","No Issue","",""
"14A","20-21","7","Picking up radar waste","200,000.00","Cleaning","No Issue","",""
"14A","20-21","8","Footpath repair and relayed work","200,000.00","Footpath","No Issue","",""
"14A","20-21","9","Drainage line cleaning and related work","200,000.00","Drainage","No Issue","",""
"14A","20-21","10","Tiles repair and related work","200,000.00","Pavement blocks","No Issue","",""
"14C","20-21","1","Hands free wash basin installation","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14C","20-21","2","Mask distribution through Bachat Gat","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14C","20-21","3","Toilet repair work","200,000.00","Toilet","No Issue","",""
"14C","20-21","4","Buckets purchased for segregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"14C","20-21","5","Distribution of 'Dhakal-gadi' for Arogya-kothi","200,000.00","Waste disposal","No Issue","",""
"14C","20-21","6","Buckets purchased for segregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"14D","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14D","20-21","2","Hands free wash basin installation","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14D","20-21","3","Hands free wash basin installation","200,000.00","Help / Fund / Relief Work","No Issue","",""
"14D","20-21","4","Sanitizer stands distribution","191,000.00","Help / Fund / Relief Work","No Issue","",""
"14D","20-21","5","Toilet related work","126,000.00","Toilet","No Issue","",""
"14D","20-21","6","Nameplates installation","167,000.00","Nameplates","No Issue","",""
"14D","20-21","7","Library construction","200,000.00","Library","No Issue","",""
"14D","20-21","8","Walls-painting","196,000.00","Colouring","No Issue","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
