"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"39D","19-20","3","Development work in parks for elderly people","99,701.52","Buildings","No Issue","",""
"39D","19-20","4","Making new parks for elder people","199,468.75","Buildings","No Issue","",""
"39D","19-20","5","Development work in parks for elderly people","199,897.60","Buildings","No Issue","",""
"40A","19-20","1","Wooden benches installation","200,000.00","Benches","No Issue","",""
"40A","19-20","2","Installing sign boards","197,506.34","Nameplates","No Issue","",""
"40A","19-20","3","Wooden benches installation","195,428.04","Benches","No Issue","",""
"40A","19-20","4","Adding thermoplastic paint at some places","197,588.16","Colouring","No Issue","",""
"40A","19-20","5","Architecture related work","191,168.11","Buildings","No Issue","",""
"40A","19-20","6","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40A","19-20","7","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40A","19-20","8","Electricity related work","197,786.64","Electrification","No Issue","",""
"40A","19-20","9","Electricity related work","197,542.00","Electrification","No Issue","",""
"40B","19-20","1","Adding thermoplastic paint at some places","197,331.30","Colouring","No Issue","",""
"40B","19-20","2","Installing nameplates","194,134.63","Nameplates","No Issue","",""
"40B","19-20","3","Installing nameplates","191,111.42","Nameplates","No Issue","",""
"40B","19-20","4","Drainage related work","199,341.90","Drainage","No Issue","",""
"40B","19-20","5","Drainage related work","198,821.34","Drainage","No Issue","",""
"40B","19-20","6","Lighting and electricity related work","196,667.62","Electrification","No Issue","",""
"40B","19-20","7","Paiting of light poles","98,943.78","Colouring","No Issue","",""
"40C","19-20","1","Repairing work related to public toilets","197,881.13","Toilet","No Issue","",""
"40C","19-20","2","Drainage related work","197,829.94","Drainage","No Issue","",""
"40C","19-20","3","Picking up radar waste","198,105.84","Waste disposal","No Issue","",""
"40C","19-20","4","Footpath repairing and related work","197,090.06","Footpath","No Issue","",""
"40C","19-20","5","Purchasing jute bags","200,000.00","Bags","No Issue","",""
"40D","19-20","1","Fencing work for skating park","199,133.76","Fencing","No Issue","",""
"40D","19-20","2","Installation of decorative poles","190,948.87","Decoration","No Issue","",""
"40D","19-20","3","Purchasing cloth bags","200,000.00","Bags","No Issue","",""
"40D","19-20","4","Purchasing cloth bags","200,000.00","Bags","No Issue","",""
"40D","19-20","5","Chainling fencing work","95,443.38","Fencing","No Issue","",""
"35A","20-21","1","Picking up radar waste","199,421.60","Waste disposal","No Issue","",""
"35A","20-21","2","Drainage related work","199,539.20","Drainage","No Issue","",""
"35A","20-21","3","Drainage related work","199,764.32","Drainage","No Issue","",""
"35A","20-21","4","Drainage related work","199,584.00","Drainage","No Issue","",""
"35A","20-21","5","Miscellaneous work","199,727.36","Development work","Resolved","No info provided on what is done. Not sure which code is correct for this","Correct"
"35A","20-21","6","Chamber cleaning related work","199,450.72","Drainage","No Issue","",""
"35A","20-21","7","Drainage related work","199,675.84","Drainage","No Issue","",""
"35A","20-21","8","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"35A","20-21","9","Miscellaneous work","200,000.00","Development work","Resolved","No info provided on what is done. Not sure which code is correct for this","Correct"
"35A","20-21","10","Drainage related work","199,539.20","Drainage","No Issue","",""
"35B","20-21","1","Tiles and concrete repairing work","198,121.21","Pavement blocks","No Issue","",""
"35B","20-21","2","Drainage and concrete related work","198,453.83","Drainage","No Issue","",""
"35B","20-21","3","Drainage line related work","196,463.19","Drainage","No Issue","",""
"35B","20-21","4","Public toilets electricity work","194,317.29","Toilet","No Issue","",""
"35B","20-21","5","Wiring related work in community temples","193,547.91","Electrification","No Issue","",""
"35B","20-21","6","Electricity related work","193,930.43","Electrification","No Issue","",""
"35B","20-21","7","Electricity related work","192,950.73","Electrification","No Issue","",""
"35B","20-21","8","Chamber repairing work","194,801.01","Drainage","No Issue","",""
"35B","20-21","9","Chamber repairing work","199,866.24","Drainage","No Issue","",""
"35B","20-21","10","Various development work","148,510.24","Development work","No Issue","",""
"35C","20-21","1","Drainage line installation","199,618.98","Drainage","No Issue","",""
"35C","20-21","2","Community temple and school repairing","199,431.89","Buildings","No Issue","",""
"35C","20-21","3","Building library","199,615.04","Library","No Issue","",""
"35C","20-21","4","Community temple repairing","178,029.75","Buildings","No Issue","",""
"35C","20-21","5","Concretization related work","198,901.52","Concretization","No Issue","",""
"35C","20-21","6","Building library","196,004.00","Library","No Issue","",""
"35C","20-21","7","Building library","192,042.12","Library","No Issue","",""
"35C","20-21","8","Cleaning and repairing related work","199,574.76","Cleaning","No Issue","",""
"35C","20-21","9","Drainage and chamber repairing","199,349.88","Drainage","No Issue","",""
"35C","20-21","10","Drainage related work","199,384.72","Drainage","No Issue","",""
"35D","20-21","1","Government related work","199,209.25","Development work","Resolved","Not sure if this is the correct code","Correct"
"35D","20-21","2","Footpath related work","198,093.09","Footpath","No Issue","",""
"35D","20-21","3","Various development work","198,470.01","Development work","No Issue","",""
"35D","20-21","4","Footpath repairing and related work","198,461.39","Footpath","No Issue","",""
"35D","20-21","5","Drainage related work","199,511.21","Drainage","No Issue","",""
"35D","20-21","6","Barricades making","196,865.22","Fencing","No Issue","",""
"35D","20-21","7","Toilets repairing","198,454.70","Toilet","No Issue","",""
"35D","20-21","8","Drainage related work","198,033.58","Drainage","No Issue","",""
"35D","20-21","9","Picking up radar waste","199,231.55","Waste disposal","No Issue","",""
"35D","20-21","10","Various development work","199,738.45","Development work","No Issue","",""
"39A","20-21","1","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"39A","20-21","2","Wiring related work in schools and clinics","123,172.14","Buildings","No Issue","",""
"39A","20-21","3","Drainage related work","199,992.32","Drainage","No Issue","",""
"39A","20-21","4","Electricity related work","123,893.12","Electrification","No Issue","",""
"39A","20-21","5","Development of drainage lines","199,897.71","Drainage","No Issue","",""
"39A","20-21","6","Sign boards installation","199,927.01","Nameplates","No Issue","",""
"39A","20-21","7","Paving block repairing","199,876.77","Pavement blocks","No Issue","",""
"39A","20-21","8","Fencing related work","199,966.37","Fencing","No Issue","",""
"39A","20-21","9","Drainage and concrete related work","193,141.34","Drainage","No Issue","",""
"39B","20-21","1","Drainage related work","199,885.87","Drainage","No Issue","",""
"39B","20-21","2","Drainage related work","199,913.66","Drainage","No Issue","",""
"39B","20-21","3","Drainage related work","199,801.30","Drainage","No Issue","",""
"39B","20-21","4","Drainage related work","99,486.34","Drainage","No Issue","",""
"39B","20-21","5","Drainage related work","199,986.39","Drainage","No Issue","",""
"39B","20-21","6","Drainage related work","199,861.46","Drainage","No Issue","",""
"39B","20-21","7","Drainage related work","99,972.18","Drainage","No Issue","",""
"39B","20-21","8","Various development work","199,974.44","Development work","No Issue","",""
"39B","20-21","9","Fencing related work","199,965.92","Fencing","No Issue","",""
"39B","20-21","10","School and toilets related wiring work","197,456.00","Electrification","No Issue","",""
"39B","20-21","11","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"39C","20-21","1","Road reparing work","199,282.65","Road","No Issue","",""
"39C","20-21","2","Road concretization work","198,562.31","Road","No Issue","",""
"39C","20-21","3","Drainage related work","199,702.38","Drainage","No Issue","",""
"39C","20-21","4","Drainage line installation","199,783.20","Drainage","No Issue","",""
"39C","20-21","5","Rainwater line and repairing","199,601.25","Drainage","No Issue","",""
"39C","20-21","6","Cleaning of drainage lines","199,630.14","Drainage","No Issue","",""
"39C","20-21","7","Footpath related work","199,483.37","Footpath","No Issue","",""
"39C","20-21","8","Distribution of sanitizer and stands","199,434.82","Help / Fund / Relief Work","No Issue","",""
"39C","20-21","9","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"39C","20-21","10","Installation of drainage lines","199,286.59","Drainage","No Issue","",""
"39D","20-21","1","Virangula kendra for old people","199,897.60","Buildings","No Issue","",""
"39D","20-21","2","Virangula kendra related work","199,767.23","Buildings","No Issue","",""
"39D","20-21","3","Virangula kendra related work","199,237.21","Buildings","No Issue","",""
