9A,MRS.MURKUTE SANJANA ASHOK,9A,images/photos/9A.jpg,Baner Balewadi,Aundh ,NCP,Yes,www.google.com,www.gmail.com
9B,CHANDERE BABURAO ASHOK,9B,images/photos/9B.jpg,Baner Balewadi,Aundh ,NCP,Yes,www.google.com,www.gmail.com
10A,MRS. CHIMTE ROHINI SUDHIR,10A,images/photos/10A.jpg,Pashan Sutarwadi,Aundh ,NCP,Yes,www.google.com,www.gmail.com
10B,MRS. NIMHAN SUSHAMA PRAMOD,10B,images/photos/10B.jpg,Pashan Sutarwadi,Aundh ,NCP,Yes,www.google.com,www.gmail.com
11A,MRS. ORASE SHARADA SHANKAR,11A,images/photos/11A.jpg,Janwadi-Gokhalenagar,Ghole Road ,NCP,Yes,www.google.com,www.gmail.com
11B,BAHIRAT DATTA RANGNATH,11B,images/photos/11B.jpg,Janwadi-Gokhalenagar,Ghole Road ,INC,Yes,www.google.com,www.gmail.com
12A,MRS. KULKARNI NILAM AVINASH,12A,images/photos/12A.jpg,Model Colony,Ghole Road ,MNS,Yes,www.google.com,www.gmail.com
12B,PAWAR RAJU /DATTATRAY RAMCHANDRA,12B,images/photos/12B.jpg,Model Colony,Ghole Road ,MNS,Yes,www.google.com,www.gmail.com
13A,MRS. SANE ASHA RAJESH,13A,images/photos/13A.jpg,Narveer Tanajiwadi,Ghole Road ,MNS,Yes,www.google.com,www.gmail.com
13B,MRS. BHOSALE RESHMA ANIL,13B,images/photos/13B.jpg,Narveer Tanajiwadi,Ghole Road ,NCP,Yes,www.google.com,www.gmail.com
14A,MRS. PARDESHI MEENA RAVI,14A,images/photos/14A.jpg,Deccan College,Yerawda - Sangamwadi ,,Yes,www.google.com,www.gmail.com
14B,BHOSALE SANJAY SHASHIKANT,14B,images/photos/14B.jpg,Deccan College,Yerawda - Sangamwadi,SS,Yes,www.google.com,www.gmail.com
15A,SMT. ARADE SHASHIKALA SUDAM,15A,images/photos/15A.jpg,Rajguru Road,Yerawda - Sangamwadi,INC,Yes,www.google.com,www.gmail.com
15B,VITKAR KISHOR RAJARAM,15B,images/photos/15B.jpg,Rajguru Road,Yerawda - Sangamwadi,NCP,Yes,www.google.com,www.gmail.com
16A,GOGALE SUNIL LALU,16A,images/photos/16A.jpg,Subhashnagar,Yerawda - Sangamwadi,NCP,Yes,www.google.com,www.gmail.com
16B,MRS. SAWANT SHEETAL AJAY,16B,images/photos/16B.jpg,Subhashnagar,Yerawda - Sangamwadi,INC,Yes,www.google.com,www.gmail.com
17A,MRS. SARAVADE MEENAL AANAND,17A,images/photos/17A.jpg,Agakhan Palace,Nagar Road ,NCP,Yes,www.google.com,www.gmail.com
17B,KARNE(GURUJI) BAPURAO GANGARAM,17B,images/photos/17B.jpg,Agakhan Palace,Nagar Road ,NCP,Yes,www.google.com,www.gmail.com
18A,MRS. GALANDE SUNITA MARUTI,18A,images/photos/18A.jpg,Vadgaon Sheri,Nagar Road ,INC,Yes,www.google.com,www.gmail.com
18B,MULEEK YOGESH TUKARAM,18B,images/photos/18B.jpg,Vadgaon Sheri,Nagar Road ,BJP,Yes,www.google.com,www.gmail.com
19A,BHAGAT SACHIN RANGNATH,19A,images/photos/19A.jpg,Vadgaon Sheri - Ganesh Nagar,Nagar Road ,SS,Yes,www.google.com,www.gmail.com
19B,MRS. PATHRE SUMAN BALASAHEB,19B,images/photos/19B.jpg,Vadgaon Sheri - Ganesh Nagar,Nagar Road ,NCP,Yes,www.google.com,www.gmail.com
20A,MRS. KODRE CHANCHALA SANDIP,20A,images/photos/20A.jpg,Magarpatta City,Dhole Patil Road ,NCP,Yes,www.google.com,www.gmail.com
20B,GAIKWAD BANDU / SUNIL JAYAVANTRAO,20B,images/photos/20B.jpg,Magarpatta City,Dhole Patil Road ,INC,Yes,www.google.com,www.gmail.com
21A,VAGASKAR RAJENDRA (BABU) RAMCHANDRA,21A,images/photos/21A.jpg,Koregaon Park,Dhole Patil Road ,MNS,Yes,www.google.com,www.gmail.com
21B,MRS. VAGASKAR VANITA RAJENDRA,21B,images/photos/21B.jpg,Koregaon Park,Dhole Patil Road ,MNS,Yes,www.google.com,www.gmail.com
22A,SMT. RAJGURU LATATAI DAYARAM,22A,images/photos/22A.jpg,Naidu Hospital,Dhole Patil Road ,INC,Yes,www.google.com,www.gmail.com
22B,GAIKWAD PRADIP MACHHINDRA,22B,images/photos/22B.jpg,Naidu Hospital,Dhole Patil Road ,NCP,Yes,www.google.com,www.gmail.com
23A,TAYADE AJAY MAGANLAL,23A,images/photos/23A.jpg,Junabazaar Kumbharwada,Dhole Patil Road ,MNS,Yes,www.google.com,www.gmail.com
23B,MRS. TIKONE SANGITA RAHUL ,23B,images/photos/23B.jpg,Junabazaar Kumbharwada,Dhole Patil Road ,MNS,Yes,www.google.com,www.gmail.com
24A,MRS. KHADE NILEEMA DATTATRAY,24A,images/photos/24A.jpg,Balgandharva,Ghole Road ,BJP,Yes,www.google.com,www.gmail.com
24B,BODAKE DIPAK / BALASAHEB KALURAM,24B,images/photos/24B.jpg,Balgandharva,Ghole Road ,NCP,Yes,www.google.com,www.gmail.com
25A,MRS. MANJALKAR NEETA AANAND,25A,images/photos/25A.jpg,Wadarwadi-Pandavnagar,Ghole Road ,SS,Yes,www.google.com,www.gmail.com
25B,ALAGUDE MUKARI ANNA,25B,images/photos/25B.jpg,Wadarwadi-Pandavnagar,Ghole Road ,INC,Yes,www.google.com,www.gmail.com
26A,MRS. JADHAV ASHWINI TUKARAM,26A,images/photos/26A.jpg,MIT - Kelewadi,Kothrud ,INC,Yes,www.google.com,www.gmail.com
26B,MANKAR DIPAK MADHAV,26B,images/photos/26B.jpg,MIT - Kelewadi,Kothrud ,INC,Yes,www.google.com,www.gmail.com
27A,MRS. MARATHE VAISHALI RAJENDRA,27A,images/photos/27A.jpg,Sutardara-Kishkindha Naga,Kothrud ,INC,Yes,www.google.com,www.gmail.com
27B,AD. KADAM RAMCHANDRA / CHANDUSHETH AATMARAM,27B,images/photos/27B.jpg,Sutardara-Kishkindha Naga,Kothrud ,INC,Yes,www.google.com,www.gmail.com
28A,MRS. MARNE JAYASHREE GAJANAN,28A,images/photos/28A.jpg,ARDE - Mhatobanagar,Kothrud ,MNS,Yes,www.google.com,www.gmail.com
28B,AD. SHINDE KISHOR NANASAHEB,28B,images/photos/28B.jpg,ARDE - Mhatobanagar,Kothrud ,MNS,Yes,www.google.com,www.gmail.com
29A,KEMSE SHANKAR DATTATRAY,29A,images/photos/29A.jpg,Bavdhan Khurd,Kothrud ,NCP,Yes,www.google.com,www.gmail.com
29B,SMT. KANOJIYA(CHAUDHARI) PUSHPA KAILAS,29B,images/photos/29B.jpg,Bavdhan Khurd,Kothrud ,MNS,Yes,www.google.com,www.gmail.com
30A,MRS. DANGAT BHAGYASHREE KAILAS,30A,images/photos/30A.jpg,Popularnagar Malwadi,Warje Karvenagar ,MNS,Yes,www.google.com,www.gmail.com
30B,DODAKE SACHIN SHIVAJI,30B,images/photos/30B.jpg,Popularnagar Malwadi,Warje Karvenagar ,NCP,Yes,www.google.com,www.gmail.com
31A,BARATE DILIP PRABHAKAR,31A,images/photos/31A.jpg,Shivane - Warje - Ramnagar,Warje Karvenagar ,INC,Yes,www.google.com,www.gmail.com
31B,MRS. DUDHANE LAXMI DEVRAM,31B,images/photos/31B.jpg,Shivane - Warje - Ramnagar,Warje Karvenagar ,NCP,Yes,www.google.com,www.gmail.com
32A,MRS. MAKWAN SUREKHA AVINASH,32A,images/photos/32A.jpg,Karvenagar - Gosavivasti,Warje Karvenagar ,MNS,Yes,www.google.com,www.gmail.com
32B,BARATE RAJABHAU KISHAN,32B,images/photos/32B.jpg,Karvenagar - Gosavivasti,Warje Karvenagar ,MNS,Yes,www.google.com,www.gmail.com
33A,AD. MOKATE YOGESH SHRIKANT,33A,images/photos/33A.jpg,Dahanukar Colony,Warje Karvenagar ,SS,Yes,www.google.com,www.gmail.com
33B,MRS. DESHPANDE SANGITA SHAM,33B,images/photos/33B.jpg,Dahanukar Colony,Warje Karvenagar ,SS,Yes,www.google.com,www.gmail.com
34A,SUTAR PRUTHVIRAJ SHASHIKANT,34A,images/photos/34A.jpg,Gujrat Colony,Kothrud ,SS,Yes,www.google.com,www.gmail.com
34B,MRS. MOHOL MONIKA MURLIDHAR,34B,images/photos/34B.jpg,Gujrat Colony,Kothrud ,BJP,Yes,www.google.com,www.gmail.com
35A,BADHE PRASHANT LAXMAN,35A,images/photos/35A.jpg,Deenanath Mangeshkar Hospital,Warje Karvenagar ,SS,Yes,www.google.com,www.gmail.com
35B,MRS. KULKARNI MEDHA VISHRAM,35B,images/photos/35B.jpg,Deenanath Mangeshkar Hospital,Warje Karvenagar ,BJP,Yes,www.google.com,www.gmail.com
36A,RANE ANIL BABURAO,36A,images/photos/36A.jpg,Kamla Nehru Park,Ghole Road ,MNS,Yes,www.google.com,www.gmail.com
36B,MRS. SAHASTRABUDHHE MADHURI SHRIRAM,36B,images/photos/36B.jpg,Kamla Nehru Park,Ghole Road ,BJP,Yes,www.google.com,www.gmail.com
37A,RASNE HEMANT NARAYAN,37A,images/photos/37A.jpg,Shaniwarwada,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
37B,MRS. TILAK MUKTA SHAILESH,37B,images/photos/37B.jpg,Shaniwarwada,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
38A,MRS. DAKHAVE ANITA DINESH (BHAIYA),38A,images/photos/38A.jpg,Kasba Peth,Kasba Vishrambagwada ,MNS,Yes,www.google.com,www.gmail.com
38B,DHANGEKAR RAVINDRA HEMRAJ,38B,images/photos/38B.jpg,Kasba Peth,Kasba Vishrambagwada ,MNS,Yes,www.google.com,www.gmail.com
39A,MRS. ZENDE SONAM MAYUR,39A,images/photos/39A.jpg,KEM Hospital,Bhawani Peth ,SS,Yes,www.google.com,www.gmail.com
39B,BIDKAR GANESH MADHUKAR,39B,images/photos/39B.jpg,KEM Hospital,Bhawani Peth,BJP,Yes,www.google.com,www.gmail.com
40A,MRS. GHODAKE LAXMITAI BALASAHEB,40A,images/photos/40A.jpg,Collectorate,Dhole Patil Road :,MNS,Yes,www.google.com,www.gmail.com
40B,SHINDE ARVIND TUKARAM,40B,images/photos/40B.jpg,Collectorate,Dhole Patil Road :,INC,Yes,www.google.com,www.gmail.com
41A,MHASKE PRASHANT AMBADAS,41A,images/photos/41A.jpg,Sopan Baug - Vikasnagar,Kondhwa Wanavdi ,INC,Yes,www.google.com,www.gmail.com
41B,MRS. KAVADE SUREKHA CHANDRAKANT,41B,images/photos/41B.jpg,Sopan Baug - Vikasnagar,Kondhwa Wanavdi ,NCP,Yes,www.google.com,www.gmail.com
42A,MRS. KAPRE VIJAYA HANUMANT(AABA),42A,images/photos/42A.jpg,"Lohiya Garden, Vaiduwadi",Hadapsar ,NCP,Yes,www.google.com,www.gmail.com
42B,AALKUNTE AANAND ANNA,42B,images/photos/42B.jpg,"Lohiya Garden, Vaiduwadi",Hadapsar ,NCP,Yes,www.google.com,www.gmail.com
43A,TUPE CHETAN VITTHAL (PATIL),43A,images/photos/43A.jpg,Sadhana Vidyalay,Hadapsar ,NCP,Yes,www.google.com,www.gmail.com
43B,MRS. PAWAR RANJANA SHIVAJI,43B,images/photos/43B.jpg,Sadhana Vidyalay,Hadapsar ,NCP,Yes,www.google.com,www.gmail.com
44A,MRS. BANKAR VAISHALI SUNIL,44A,images/photos/44A.jpg,Gliding Centre,Hadapsar ,NCP,Yes,www.google.com,www.gmail.com
44B,-,44B,images/photos/44B.jpg,Gliding Centre,Hadapsar ,SS,Yes,www.google.com,www.gmail.com
45A,SAYYAD FARUK YASIN/FARUKBHAI INAMDAR,45A,images/photos/45A.jpg,Mohammadwadi,Hadapsar ,SS,Yes,www.google.com,www.gmail.com
45B,MRS. WADKAR VIJAYA POPAT,45B,images/photos/45B.jpg,Mohammadwadi,Hadapsar ,INC,Yes,www.google.com,www.gmail.com
46A,LONDHE SATISHBHAU VAMANRAO,46A,images/photos/46A.jpg,Wanavdi - Ramtekdi,Kondhwa Wanavdi ,INC,Yes,www.google.com,www.gmail.com
46B,MRS. SHIVARKAR KAVITA CHANDRAKANT,46B,images/photos/46B.jpg,Wanavdi - Ramtekdi,Kondhwa Wanavdi ,INC,Yes,www.google.com,www.gmail.com
47A,JANJOT SUDHIR RAMAKANT,47A,images/photos/47A.jpg,Arunkumar Vaidya Stadium,Bhawani Peth,INC,Yes,www.google.com,www.gmail.com
47B,SMT. KHAN JILEHUMA MOSHRIF,47B,images/photos/47B.jpg,Arunkumar Vaidya Stadium,Bhawani Peth,INC,Yes,www.google.com,www.gmail.com
48A,MRS.AANDEKAR RAJASHREETAI SURYAKANT,48A,images/photos/48A.jpg,Palkhi Vithoba Mandir,Bhawani Peth,NCP,Yes,www.google.com,www.gmail.com
48B,AANDEKAR UDAYKANT RANOJI,48B,images/photos/48B.jpg,Palkhi Vithoba Mandir,Bhawani Peth,NCP,Yes,www.google.com,www.gmail.com
49A,MRS. GADALE SUNANDA SATISH,49A,images/photos/49A.jpg,Dr. Kotnis Hospital,Kasba Vishrambagwada ,INC,Yes,www.google.com,www.gmail.com
49B,KACHI MILIND INDRAKUMAR,49B,images/photos/49B.jpg,Dr. Kotnis Hospital,Kasba Vishrambagwada ,INC,Yes,www.google.com,www.gmail.com
50A,AD. MRS. PATIL THOMBARE RUPALI,50A,images/photos/50A.jpg,Mahatma Phule Mandai,Kasba Vishrambagwada ,MNS,Yes,www.google.com,www.gmail.com
50B,KALOKHE DILIP GOVIND,50B,images/photos/50B.jpg,Mahatma Phule Mandai,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
51A,JADHAV DHANANJAY VISHNU,51A,images/photos/51A.jpg,Tilak Smarak Mandir,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
51B,MRS. GHATE MANISHA DHANANJAY,51B,images/photos/51B.jpg,Tilak Smarak Mandir,Kasba Vishrambagwada ,BJP,Yes,www.google.com,www.gmail.com
52A,HAMANGHAR VINAYAK KONDIBA,52A,images/photos/52A.jpg,Vaikunth Smashanbhoomi,Tilak Road ,NCP,Yes,www.google.com,www.gmail.com
52B,MRS. BODAKE MANISHA SANTOSH,52B,images/photos/52B.jpg,Vaikunth Smashanbhoomi,Tilak Road,NCP,Yes,www.google.com,www.gmail.com
53A,MRS.NAGPURE MANJUSHA DIPAK,53A,images/photos/53A.jpg,PL Deshpande Udyan,Tilak Road,BJP,Yes,www.google.com,www.gmail.com
53B,JAGTAP SHREEKANT SHASHIKANT,53B,images/photos/53B.jpg,PL Deshpande Udyan,Tilak Road,BJP,Yes,www.google.com,www.gmail.com
