54B,LAYGUDE RAJABHAU MURLIDHAR,54B,images/photos/54B.jpg,Suncity Wadgaon Budruk,Tilak Road,MNS,0,0,No,www.google.com,csv/54B.csv,Male
55A,KUDALE PATIL SANGITA ANKURSHETH,55A,images/photos/55A.jpg,Janata Vasahat,Tilak Road,NCP,0,0,No,www.google.com,csv/55A.csv,Female
55B,DANGAT (PATIL) VIKAS PANDHARINATH,55B,images/photos/55B.jpg,Janata Vasahat,Tilak Road,NCP,0,0,Yes,www.google.com,csv/55B.csv,Male
56A,TUPERE RAHUL BAPU,56A,images/photos/56A.jpg,Sarasbaug Parvati,Tilak Road,MNS,0,0,Yes,www.google.com,csv/56A.csv,Male
56B,GADADE (MEDHE) PRIYA SHIVAJI,56B,images/photos/56B.jpg,Sarasbaug Parvati,Tilak Road,MNS,0,0,Yes,www.google.com,csv/56B.csv,Male
57A,VASTE SMITA PADMAKAR,57A,images/photos/57A.jpg,Kadakmal Ali Hirabaug,Sahakarnagar ,BJP,0,0,No,www.google.com,csv/57A.csv,Female
57B,HARNAVAL ASHOK / VISHNU SURYABHAN,57B,images/photos/57B.jpg,Kadakmal Ali Hirabaug,Sahakarnagar ,SS,0,0,Yes,www.google.com,csv/57B.csv,Male
58A,DHAMALE PRATIBHA NITIN,58A,images/photos/58A.jpg,Mahatma Phule Smarak,Kasba Vishrambagwada ,BJP,0,0,No,www.google.com,csv/58A.csv,Female
58B,YENPURE ASHOK KONDIBA,58B,images/photos/58B.jpg,Mahatma Phule Smarak,Kasba Vishrambagwada ,BJP,0,0,Yes,www.google.com,csv/58B.csv,Male
59A,NETAKE (OSVAL) SUSHILATAI SHANKAR,59A,images/photos/59A.jpg,Kashewadi Gurunanaknagar,Bhawani Peth,MNS,0,0,Yes,www.google.com,csv/59A.csv,Female
59B,HARIHAR VISHNU NARAYAN,59B,images/photos/59B.jpg,Kashewadi Gurunanaknagar,Bhawani Peth,BJP,0,0,Yes,www.google.com,csv/59B.csv,Male
60A,MOMIN HINA SHAFIK,60A,images/photos/60A.jpg,Mahatma Phule Peth Kashewadi Bhawani Peth,Bhawani Peth,NCP,0,0,No,www.google.com,csv/60A.csv,Female
60B,BAGWE AVINASH RAMESH,60B,images/photos/60B.jpg,Mahatma Phule Peth Kashewadi Bhawani Peth,Bhawani Peth,INC,0,0,Yes,www.google.com,csv/60B.csv,Male
61A,LONKAR NANDA NARAYANRAO,61A,images/photos/61A.jpg,Kedar Vasti - Azadnagar,Kondhwa Wanavdi ,NCP,0,0,No,www.google.com,csv/61A.csv,Female
61B,JAGTAP PRASHANT SUDAM,61B,images/photos/61B.jpg,Kedar Vasti - Azadnagar,Kondhwa Wanavdi ,NCP,0,0,No,www.google.com,csv/61B.csv,Male
62A,THOSAR SANGITATAI RAJENDRA,62A,images/photos/62A.jpg,"Kondhwa Budruk, Gokulnagar",Kondhwa Wanavdi ,BJP,0,0,Yes,www.google.com,csv/62A.csv,Female
62B,TILEKAR YOGESH PUNDALIK,62B,images/photos/62B.jpg,"Kondhwa Budruk, Gokulnagar",Kondhwa Wanavdi ,BJP,0,0,Yes,www.google.com,csv/62B.csv,Male
63A,RAYIS RASHID SUNDAKE,63A,images/photos/63A.jpg,Bhagyodaynagar,Kondhwa Wanavdi ,SS,0,0,No,www.google.com,csv/63A.csv,Male
63B,BABAR AARTI SAINATH,63B,images/photos/63B.jpg,Bhagyodaynagar,Kondhwa Wanavdi ,MNS,0,0,No,www.google.com,csv/63B.csv,Female
64A,BHIMALE SHRINATH YASHWANT,64A,images/photos/64A.jpg,Salisbury Park,Bibvewadi,BJP,0,0,Yes,www.google.com,csv/64A.csv,Male
64B,VAIRAGE KAVITA BHARAT,64B,images/photos/64B.jpg,Salisbury Park,Bibvewadi,BJP,0,0,No,www.google.com,csv/64B.csv,Female
65A,KAMBLE PANDURANG / BAPU DIGAMBAR,65A,images/photos/65A.jpg,Ghorpade Garden,Bhawani Peth,BJP,0,0,Yes,www.google.com,csv/65A.csv,Male
65B,VYAVAHARE KAMAL DNYANRAJ,65B,images/photos/65B.jpg,Ghorpade Garden,Bhawani Peth,INC,0,0,No,www.google.com,csv/65B.csv,Female
66A,CHORBELE MANISHA PRAVIN,66A,images/photos/66A.jpg,Adinath Society,Sahakarnagar ,BJP,0,0,No,www.google.com,csv/66A.csv,Female
66B,CHAJED ABHAY BHAKCHAND,66B,images/photos/66B.jpg,Adinath Society,Sahakarnagar ,INC,0,0,No,www.google.com,csv/66B.csv,Male
67A,BAGUL AABA / ULHAS VASANTRAO,67A,images/photos/67A.jpg,Aranyeshwar Taware Colony,Sahakarnagar ,INC,0,0,No,www.google.com,csv/67A.csv,Male
67B,KADAM ASHWINI NITIN,67B,images/photos/67B.jpg,Aranyeshwar Taware Colony,Sahakarnagar ,NCP,0,0,No,www.google.com,csv/67B.csv,Female
68A,JAGTAP USHA SUBHASH,68A,images/photos/68A.jpg,Sahakarnagar - Taljai,Sahakarnagar ,INC,0,0,Yes,www.google.com,csv/68A.csv,Female
68B,JAGTAP SUBHASH DIGAMBAR,68B,images/photos/68B.jpg,Sahakarnagar - Taljai,Sahakarnagar ,INC,0,0,Yes,www.google.com,csv/68B.csv,Male
69A,TAPKIR VARSHA VILAS,69A,images/photos/69A.jpg,Dhankawadi Padmavati,Dhankawadi ,BJP,0,0,No,www.google.com,csv/69A.csv,Female
69B,BHOSALE SHIVLAL NAMDEVRAO,69B,images/photos/69B.jpg,Dhankawadi Padmavati,Dhankawadi ,NCP,0,0,No,www.google.com,csv/69B.csv,Male
70A,SHILIMKAR RAJENDRA YASHWANT,70A,images/photos/70A.jpg,Bibvewadi and KK Market,Bibvewadi,BJP,0,0,Yes,www.google.com,csv/70A.csv,Male
70B,SHINDE ASMITA VISHAL,70B,images/photos/70B.jpg,Bibvewadi and KK Market,Bibvewadi,MNS,0,0,Yes,www.google.com,csv/70B.csv,Female
71A,KAMBLE SUNIL DNYANDEV,71A,images/photos/71A.jpg,"Shivaji Market, Gultekdi",Bibvewadi,BJP,0,0,Yes,www.google.com,csv/71A.csv,Male
71B,DESHPANDE MANASI MANOJ,71B,images/photos/71B.jpg,"Shivaji Market, Gultekdi",Bibvewadi,BJP,0,0,No,www.google.com,csv/71B.csv,Female
72A,DHADAVE DINESH SHANKAR,72A,images/photos/72A.jpg,Upper Indiranagar,Bibvewadi,NCP,0,0,Yes,www.google.com,csv/72A.csv,Male
72B,OSWAL DIPALI PRAMOD,72B,images/photos/72B.jpg,Upper Indiranagar,Bibvewadi,SS,0,0,No,www.google.com,csv/72B.csv,Female
73A,DHANKAVDE DATTATRAY BABANRAO,73A,images/photos/73A.jpg,Balajinagar Vaibhavnagar,Dhankawadi ,NCP,0,0,Yes,www.google.com,csv/73A.csv,Male
73B,PAYGUDE SUVARNA ROHIDAS,73B,images/photos/73B.jpg,Balajinagar Vaibhavnagar,Dhankawadi ,NCP,0,0,No,www.google.com,csv/73B.csv,Female
74A,DEVKAR MOHINI RAJENDRAKUMAR,74A,images/photos/74A.jpg,Bharati Vidyapeeth,Dhankawadi ,NCP,0,0,No,www.google.com,csv/74A.csv,Female
74B,TAMBE VISHAL VILASRAO,74B,images/photos/74B.jpg,Bharati Vidyapeeth,Dhankawadi ,NCP,0,0,Yes,www.google.com,csv/74B.csv,Male
75A,THORVE KALPANA SAMBHAJI,75A,images/photos/75A.jpg,Katraj Dairy,Dhankawadi ,SS,0,0,Yes,www.google.com,csv/75A.csv,Female
75B,KADAM ABHIJIT MADHAVRAO,75B,images/photos/75B.jpg,Katraj Dairy,Dhankawadi ,INC,0,0,No,www.google.com,csv/75B.csv,Male
76A,KADAM BHARATI PRAKASH,76A,images/photos/76A.jpg,Katraj Maulinagar,Dhankawadi ,NCP,0,0,No,www.google.com,csv/76A.csv,Female
76B,MORE VASANT KRUSHNA,76B,images/photos/76B.jpg,Katraj Maulinagar,Dhankawadi ,MNS,0,0,Yes,www.google.com,csv/76B.csv,Male
